מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 25,סוף מידע
1328,9759.0,PAPAYA GROWTH OPPORTUNI-CL A,549300U6L3FU6EKJUM40,LEI,Papaya Growth Opportunity Corp,US69882P1104,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US69882P1021,Financial Services,2028-12-31,לא,USD,11.5,1.0,746.77,3.306,1.06,0.026,0.000133,0.0,,
1328,9760.0,"נאוויטס פטרוליום, שותפות מוגבלת",550263107,ח.פ.,נאוויטס פט אפ 6,IL0012288242,ISIN,ישראל,ישראל,סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,לא,ILS,11641.04,1.0,340.0,1.0,1609.0,5.471,0.29689,1.8e-05,,
1328,9760.0,SEMANTIX INC-CL A,70523,פנימי,Semantix Inc,KYG6332A1141,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,STIXF US Equity,Software,2027-08-04,לא,USD,11.5,1.0,672.89,3.306,0.0001,0.0,0.0,0.0,,
1328,9760.0,Plum Acquisition Corp I,13801,פנימי,Veea Inc,US6934891143,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US6934891226,Diversified Telecommunication Services,2029-09-17,לא,USD,11.5,1.0,170.6,3.306,7.0,0.039,0.002142,0.0,,
1328,9760.0,CLASSOVER HOLDINGS INC-CL B,96899,פנימי,Classover Holdings Inc,US1827441106,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,US1827441023,Interactive Media & Services,2030-04-07,לא,USD,11.5,1.0,854.81,3.306,8.02,0.227,0.0123,0.0,,
1328,9760.0,Investcorp Europe Acquisition,14180,פנימי,Investcorp Europe Acquisition,KYG4923T1132,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG4923T1058,Financial Services,2028-11-23,לא,USD,11.5,1.0,502.31,3.306,1.0,0.017,0.000901,0.0,,
1328,9760.0,Ginkgo Bioworks Holdings Inc,254900B6L3GN956CY454,LEI,Ginkgo Bioworks Holdings Inc,US37611X1182,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US37611X2099,Biotechnology,2026-09-16,לא,USD,11.5,1.0,998.18,3.306,0.73,0.024,0.001307,0.0,,
1328,9760.0,SLAM CORP-A,13860,פנימי,Slam Corp,KYG8210L1216,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,KYG8210L1059,Financial Services,2026-02-23,לא,USD,11.5,1.0,247.83,3.306,0.5,0.004,0.000222,0.0,,
1328,9760.0,HELIOGEN INC,14185,פנימי,Heliogen Inc,US42329E1139,ISIN,"חו""ל","ארה""ב",סחיר,NYSE,US42329E1055,Electric Utilities,2028-03-31,לא,USD,402.5,1.0,129.24,3.306,0.71,0.003,0.000164,0.0,,
1328,9760.0,SATELLOGIC INC-A,14211,פנימי,Satellogic Inc,US80401C1181,ISIN,"חו""ל","ארה""ב",סחיר,NASDAQ,VGG7823S1011,Aerospace & Defense,2027-01-25,לא,USD,11.5,1.0,286.32,3.306,35.0,0.331,0.017979,1e-06,,
