מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 18,סוף מידע
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8886 01.06.2035,71125660.0,2020-06-01,7.722456804478874,צמוד למדד המחירים לצרכן,2035-06-01,0.048,0.0485,322250.16,120.279457,387.601,387.601,עלות מופחתת,0.025647,0.007026,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8870 01.01.2034,71124796.0,2019-01-01,6.8284128363239835,צמוד למדד המחירים לצרכן,2034-01-01,0.048,0.0485,33350.3,119.699042,39.92,39.92,עלות מופחתת,0.002641,0.000723,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8851 01.06.2032,71123772.0,2017-06-01,5.695130326524218,צמוד למדד המחירים לצרכן,2032-06-01,0.048,0.0485,47110.15,121.603371,57.288,57.288,עלות מופחתת,0.00379,0.001038,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8871 01.02.2034,71124945.0,2019-02-01,6.9117461696573175,צמוד למדד המחירים לצרכן,2034-02-01,0.048,0.0485,137215.93,119.570244,164.069,164.069,עלות מופחתת,0.010856,0.002974,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8846 01.01.2032,71123616.0,2017-01-01,5.411447050734412,צמוד למדד המחירים לצרכן,2032-01-01,0.048,0.0485,18960.99,121.494528,23.037,23.037,עלות מופחתת,0.001524,0.000417,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8831 01.10.2030,71122725.0,2015-10-01,4.400636849279766,צמוד למדד המחירים לצרכן,2030-10-01,0.048,0.0485,1352.51,121.700731,1.646,1.646,עלות מופחתת,0.000108,2.9e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8791 01.06.2027,71119598.0,2012-06-01,1.6001868199641902,צמוד למדד המחירים לצרכן,2027-06-01,0.048,0.0485,386.62,122.922215,0.475,0.475,עלות מופחתת,3.1e-05,8e-06,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8805 01.08.2028,71121206.0,2013-08-01,2.665587454544398,צמוד למדד המחירים לצרכן,2028-08-01,0.048,0.0485,4258.32,119.909147,5.106,5.106,עלות מופחתת,0.000337,9.2e-05,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8812 01.03.2029,71121651.0,2014-03-01,3.182515412552067,צמוד למדד המחירים לצרכן,2029-03-01,0.048,0.0485,5416.84,119.541567,6.475,6.475,עלות מופחתת,0.000428,0.000117,,
1328,14303.0,ערד בקרן פנסיה מקיפה חדשה,ערד 8810 01.01.2029,71121438.0,2014-01-01,3.0158487458854,צמוד למדד המחירים לצרכן,2029-01-01,0.048,0.0485,4148.43,119.922945,4.975,4.975,עלות מופחתת,0.000329,9e-05,,
