מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2026 סדרה 8776,8287768.0,2011-03-01,0.4164,צמוד למדד המחירים לצרכן,2026-03-01,0.048,0.0488,1944651.0,125.394416,2438.48376,,,0.000769,0.000217
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8794,8287945.0,2012-09-02,1.8538,צמוד למדד המחירים לצרכן,2027-09-02,0.048,0.0485,3847739.0,121.679861,4681.92347,,,0.001476,0.000417
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8789,8287891.0,2012-04-01,1.4322,צמוד למדד המחירים לצרכן,2027-04-01,0.048,0.0486,7215976.0,125.433163,9051.22694,,,0.002855,0.000807
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2030 סדרה 8833,8288334.0,2015-12-01,4.5708,צמוד למדד המחירים לצרכן,2030-12-01,0.048,0.0485,16561465.0,121.105485,20056.84256,,,0.006326,0.00179
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2031 סדרה 8839,8288390.0,2016-06-01,4.955,צמוד למדד המחירים לצרכן,2031-06-01,0.048,0.0485,1017137.0,122.457927,1245.56488,,,0.000392,0.000111
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2037 סדרה 8906,8289069.0,2022-02-01,8.8159,צמוד למדד המחירים לצרכן,2037-02-02,0.048,0.0485,55586000.0,116.418904,64712.6121,,,0.020413,0.005775
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2036 סדרה 8899,8288992.0,2021-07-01,8.4303,צמוד למדד המחירים לצרכן,2036-07-01,0.048,0.0485,17985000.0,118.380916,21290.80783,,,0.006716,0.0019
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034  סדרה 8871,8288719.0,2019-02-01,6.9221,צמוד למדד המחירים לצרכן,2034-02-01,0.048,0.0485,27712785.0,119.56738,33135.45106,,,0.010452,0.002957
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8792,8287924.0,2012-07-01,1.6816,צמוד למדד המחירים לצרכן,2027-07-01,0.048,0.0486,3647583.0,122.43265,4465.83255,,,0.001408,0.000398
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034 סדרה 8881,8288818.0,2019-12-01,7.413,צמוד למדד המחירים לצרכן,2034-12-01,0.048,0.0485,57170000.0,119.323241,68217.09705,,,0.021519,0.006088
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2029 סדרה 8817,8288178.0,2014-08-01,3.5252,צמוד למדד המחירים לצרכן,2029-08-01,0.048,0.0485,523110.0,119.320216,624.17598,,,0.000196,5.5e-05
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2033 סדרה 8859,8288590.0,2018-02-01,6.2286,צמוד למדד המחירים לצרכן,2033-02-01,0.048,0.0485,155344295.58,120.520103,187221.10565,,,0.059059,0.016709
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2027 סדרה 8797,8287977.0,2012-12-02,2.058,צמוד למדד המחירים לצרכן,2027-12-02,0.048,0.0485,7854994.0,122.088906,9590.0763,,,0.003025,0.000855
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2031 סדרה 8840,8288401.0,2016-07-01,5.0375,צמוד למדד המחירים לצרכן,2031-07-01,0.048,0.0486,5894850.0,121.605365,7168.45388,,,0.002261,0.000639
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד2027  סדרה 8796,8287967.0,2012-11-01,1.973,צמוד למדד המחירים לצרכן,2027-11-01,0.048,0.0485,5238579.0,122.354865,6409.65628,,,0.002021,0.000572
209,12119.0,ערד בקרן פנסיה מקיפה חדשה,ערד 2034 סדרה 8873,8288731.0,2019-04-01,6.9186,צמוד למדד המחירים לצרכן,2034-04-01,0.048,0.0486,75125793.0,121.463178,91250.17623,,,0.028785,0.008144
