מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
671,7234.0,Bridge logistics value fund II R2,,,Bridge logistics value fund II R2- pension,39027,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2024-12-19,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1388.80016,4591.37336,0.012107,0.022503,0.001628
671,7234.0,VIOLA CREDIT ALF GP,,,VIOLA CREDIT ALF III עמיתים לא ממונף,34117,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2021-12-09,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,281.98169,932.23148,0.001943,0.004569,0.00033
671,7234.0,Clearlake Capital Partners VII GP LLC,,,Clearlake VII,33937,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2022-04-21,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,582.50219,1925.75224,8.4e-05,0.009438,0.000682
671,7234.0,StepStone PH Infra (GP) LLC Delaware,,,Stepstone Infrastructure Debt - BID Fund II-B,33551,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2020-12-29,USD,דיווח מנהל הקרן,אי-תלות,2025-03-31,3.306,301.3066,996.11964,0.00015,0.004882,0.000353
671,7234.0,GLOBAL TEXAS GP LLC,,,קרן טקסס   GFI,33069,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2012-10-15,USD,מומחה בלתי תלוי,אי-תלות,2024-12-31,3.306,44.25127,146.2947,0.000595,0.000717,5.1e-05
671,7234.0,EGIS,,,EGIS - Tikehau,39077,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,צרפת,לא,2025-06-29,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-29,3.8807,581.51514,2256.6858,0.000407,0.01106,0.0008
671,7234.0,TRITIUM III LP,,,Tritium III,33941,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-02-13,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,250.63498,828.59925,0.00142,0.004061,0.000293
671,7234.0,CVC Credit Partners European Direct Lending General Partner III S. r.l.,,,CVC Credit Partners European Direct Lending III,33966,פנימי,קרן חוב,,"חו""ל",,,בריטניה,לא,2022-07-28,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,540.51114,2097.56157,0.00042,0.01028,0.000743
671,7234.0,Titan Co-Invest (CBAM),,,Titan Co-Invest (CBAM-TrinityBridge),39009,פנימי,קרן השקעה אחרת,,"חו""ל",,,בריטניה,לא,2025-02-28,GBP,דיווח מנהל הקרן,אי-תלות,2025-02-28,4.4409,762.95458,3388.20499,0.005886,0.016606,0.001201
671,7234.0,Northleaf Capital Partners (Canada) Ltd.,,,CSV 1 Northleaf CSV Co-Investment LP,34042,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,קנדה,לא,2023-03-30,CAD,דיווח מנהל הקרן,אי-תלות,2025-06-30,2.3745,735.72024,1746.96772,0.000612,0.008562,0.000619
671,7234.0,Presidio Inc,,,Presidio III,39002,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-06-09,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,428.30256,1415.96828,0.005031,0.00694,0.000502
671,7234.0,Sanlam Co-Investor II L.P.,,,Sanlam,33955,פנימי,קרן השקעה אחרת,,"חו""ל",,,בריטניה,לא,2022-04-25,GBP,דיווח מנהל הקרן,אי-תלות,2024-10-31,4.4409,0.0,-4e-05,0.0,0.0,0.0
671,7234.0,Coller Credit Seconderies Fund II Annex I B,,,Coller Credit Seconderies Fund II Annex I B,39082,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2018-12-27,USD,דיווח מנהל הקרן,אי-תלות,2025-07-13,3.306,135.83891,449.08344,0.001598,0.002201,0.000159
671,7234.0,Magma Venture Capital Management II LP,,,Glennmont REBS,33393,פנימי,קרן חוב,,"חו""ל",,,ספרד,לא,2019-04-24,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,81.35683,315.72145,0.002279,0.001547,0.000111
671,7234.0,AlbaCore Capital LLP,,,AC strategic investment-EUR,33655,פנימי,קרן חוב,,"חו""ל",,,בריטניה,לא,2020-11-03,EUR,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.8807,119.72946,464.63413,0.003214,0.002277,0.000164
671,7234.0,Warren Equity Partners GP IV LP,,,WEP IV עמיתים,34022,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-01-17,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,642.92994,2125.5264,0.000626,0.010417,0.000753
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,FRUX Capital Fund II,33977,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-11-22,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,217.78027,845.1399,0.001681,0.004142,0.000299
671,7234.0,FNX US GP LLC,,,קרן דאלאס קרן השקעה,33071,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2013-06-06,USD,מומחה בלתי תלוי,אי-תלות,2024-09-30,3.306,9.51788,31.46613,0.001204,0.000154,1.1e-05
671,7234.0,Providence Strategic Growth,,,Providence Strategic Growth VI,34103,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2023-12-17,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,169.09162,559.0169,0.000199,0.002739,0.000198
671,7234.0,Mill Point Capital Partners GP III L.P,,,Mill Point III,34145,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-06-09,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,101.6943,336.20137,0.001131,0.001647,0.000119
671,7234.0,GENERAL ATLANTIC,,,General Atlantic- nerdio,39079,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2025-06-28,USD,מומחה בלתי תלוי,אי-תלות,2025-06-30,3.306,303.17194,1002.28643,0.000257,0.004912,0.000355
671,7234.0,Audax Management Company (NY) LLC (advisor),,,Audax DLS  II,33965,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2022-06-23,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,600.19831,1984.2556,0.000467,0.009725,0.000703
671,7234.0,WD THUNDER CV GP,,,FLOGISTIX,34098,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2024-02-22,USD,מומחה בלתי תלוי,אי-תלות,2025-06-30,3.306,408.15284,1349.3533,0.001536,0.006613,0.000478
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,VPC OFFSHORE INVESTOR FUND P FEEDER,34076,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2023-09-20,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,508.23347,1680.21985,0.008407,0.008235,0.000595
671,7234.0,Israel Infrastructure G.P. Management II L.P.,,,ISQ,33887,פנימי,קרן חוב,,"חו""ל",,,"ארה""ב",לא,2021-11-10,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,135.60455,448.30866,0.000593,0.002197,0.000158
