מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך ,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,סיווג הקרן,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
209,9975.0,FULLGOAL INTERNATIONALFUNDS,549300BD5XZL0OCXC245,LEI,Fullgoal International Funds S,LU1171460493,ISIN,מניות,"חו""ל",סין,סחיר,אחר,Equity Funds,לא,USD,139.74,3.306,565649.3,2613.27195,0.003484,0.017639,0.00019
209,9975.0,PIMCO,J1L21SK0XQM5UHF1OK52,LEI,PIMCO GIS Capital Securities F,IE00B6VH4D24,ISIN,"אג""ח קונצרני","חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,2875.47,3.306,2549.0,242.31595,6.3e-05,0.001635,1.7e-05
209,9975.0,Prestige Alternative Finance,21380098U356PUQFYE72,LEI,PRESTIGE ALT FI,KYG722711853,ISIN,מניות,"חו""ל",בריטניה,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,217.09,3.306,9914.0,71.15411,0.0,0.00048,5e-06
209,9975.0,SDCL ENERGY EFFICIENCY INCOME,213800ZPSC7XUVD3NL94,LEI,Sdcl Energy Efficiency Income,GB00BGHVZM47,ISIN,מניות,"חו""ל",בריטניה,סחיר,LSE,Equity Funds,לא,GBP,790544.0,4.4409,56.6,1987.07139,0.000728,0.013412,0.000145
209,9975.0,PIMCO,J1L21SK0XQM5UHF1OK52,LEI,PIMCO GIS Emerging Local Bond,IE00B29K0P99,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,793389.8,3.306,1719.0,45088.4536,0.005083,0.304338,0.003293
209,9975.0,M&Gַַ  LUX INVESTMENT FUNDS 1 - M,549300OR1ZG2XAP7AU07,LEI,M&G Lux Investment Funds 1 - M,LU2486835627,ISIN,מניות,"חו""ל",יפן,סחיר,אחר,Equity Funds,לא,USD,174031.31,3.306,1656.53,9530.80432,0.008351,0.064331,0.000696
209,9975.0,TOTAL CAPITAL INTL SA,5493009VJSAE25SFXL78,LEI,Capital Group Emerging Markets,LU0532993937,ISIN,"אג""ח ממשלתי","חו""ל",סין,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,303007.05,3.306,1401.0,14034.3958,0.017936,0.094729,0.001025
209,9975.0,CVC Credit Partners Ltd,2588,פנימי,CVC INCOME & GROWTH LTD,JE00B9G79F59,ISIN,מניות,"חו""ל",אירופה,סחיר,LSE,Bond/Fixed Income Funds,לא,EUR,65892.87,3.8807,109.0,278.7244,0.000793,0.001881,2e-05
209,9975.0,Ashoka India,213800M3HXZ3RG189568,LEI,Ashoka WhiteOak ICAV - Ashoka,IE00BH3N4915,ISIN,מניות,"חו""ל",הודו,סחיר,אחר,Equity Funds,לא,USD,16578.48,3.306,25948.0,14221.69729,0.0,0.095993,0.001038
209,9975.0,INDIA DYNAMIC BOND FUND,25490082RF6XVDE85Z82,LEI,India Dynamic Bond Fund,MU0395S00048,ISIN,"אג""ח ממשלתי","חו""ל",הודו,סחיר,אחר,Bond/Fixed Income Funds,לא,USD,14932.15,3.306,12121.0,5983.61438,3.6e-05,0.040388,0.000437
