מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס,מאפיין עיקרי,"מדינת מיקום נדל""ן",בעל עניין/צד קשור,תאריך רכישה,שימוש עיקרי בנכס,מחזור חיי הנכס,כתובת הנכס,שיעור תשואה בפועל במהלך הרבעון,השיטה שבאמצעותה נקבע שווי הנכס,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,מטבע פעילות,שווי הוגן (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9655,טוטנאוור הר טוב בית שמש - פנסיה,"נדל""ן מניב",ישראל,לא,2019-08-25,לוגיסטיקה ותעשייה,בשימוש,איזור תעשיה הר טוב בית שמש,5.885%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3546.4,3546.40003,,,,5.010%,0.021%
170,9655,מגדלי הארבעה - פנסיה,"נדל""ן מניב",ישראל,לא,2020-01-15,משרדים,בשימוש,רחוב הארבעה תל אביב-יפו,5.099%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4375.438,4375.43833,,,,6.181%,0.026%
170,9655,עמק חפר - פנסיה,"נדל""ן מניב",ישראל,לא,2018-03-07,לוגיסטיקה ותעשייה,בשימוש,עמק חפר,5.748%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1099.808,1099.80842,,,,1.554%,0.007%
170,9655,SKY TOWER - פנסיה,"נדל""ן מניב",ישראל,לא,2022-03-30,משרדים,בשימוש,"רחוב המסגר 35, מתחם חסן עראפה, תל אביב",6.364%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,4935.0,4935.00043,,,,6.971%,0.030%
170,9655,סטודיו טאוור - פנסיה,"נדל""ן מניב",ישראל,לא,2018-12-23,משרדים,בשימוש,בר כוכבא 10-12 בני ברק,6.922%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1475.821,1475.82116,,,,2.085%,0.009%
170,9655,כורזין גבעתיים - פנסיה,"נדל""ן לא מניב",ישראל,לא,2019-10-23,משרדים,בתכנון/בהיתרים,תפוצות ישראל גבעתיים,7.800%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3391.398,3391.3981,,,,4.791%,0.020%
170,9655,עסקת גרפוליט - פנסיה,"נדל""ן לא מניב",ישראל,לא,2020-01-09,משרדים,בתכנון/בהיתרים,רחוב הגרא תל אביב-יפו,8.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3246.966,3246.9659,,,,4.587%,0.020%
170,9655,נכס באר שבע - פנסיה,"נדל""ן לא מניב",ישראל,לא,2020-07-27,משרדים,שלבים מתקדמים,באר שבע,8.300%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,3590.973,3590.97299,,,,5.073%,0.022%
170,9655,אורדן - פנסיה,"נדל""ן לא מניב",ישראל,לא,2021-06-28,משרדים,בתכנון/בהיתרים,אזור תעשיה צפוני נתניה,8.250%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1177.8,1177.80041,,,,1.664%,0.007%
170,9655,מבוא כרמל - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-01-26,לוגיסטיקה ותעשייה,בשימוש,"רחוב אלון פינת תאנה, מבוא כרמל",6.800%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,1798.27,1798.26984,,,,2.540%,0.011%
170,9655,אינשטיין 33-35 - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-06-15,מסחר,שלבים התחלתיים,רחוב איינשטיין תל אביב,7.700%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,8708.0,8708.00018,,,,12.301%,0.053%
170,9655,מבוא כרמל החדשה - פנסיה,"נדל""ן לא מניב",ישראל,לא,2022-06-29,לוגיסטיקה ותעשייה,שלבים התחלתיים,"רחוב אלון פינת תאנה, מבוא כרמל",9.500%,,מומחה בלתי תלוי,,אי-תלות,2024-12-31,ILS,7578.739,7578.73923,,,,10.706%,0.046%
