מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9655,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM NQZ5 Index התחייבות,557001083,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,-79048640.8451783,3.306,100.0,-261334.80663,-1687.265%,-1.579%
170,9655,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index משתנה,DE000C7GEVL3,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,11.260979138,3.8807,2401100.0,26232.30668,169.365%,0.158%
170,9655,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM GXZ5 Index התחייבות,557001085,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-6687332.46134702,3.8807,100.0,-25951.53108,-167.552%,-0.157%
170,9655,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index משתנה,DE000C7GEHQ1,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,1151.454268228,3.8807,554100.0,247596.73575,1598.568%,1.496%
170,9655,Eurex,3157006N403B4B9JLJ02,LEI,12/2025 JPM VGZ5 Index התחייבות,557001087,פנימי,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,-62529125.6767106,3.8807,100.0,-242656.77801,-1566.674%,-1.466%
170,9655,Chicago Board of Trade,549300EX04Q2QBFQTQ27,LEI,UXYZ5 Comdty,70235490,פנימי,"חו""ל","ארה""ב",אחר,"ריבית ואג""ח",לא,USD,53.130661049,3.306,11507.8125,186.62809,1.205%,0.001%
170,15092,Eurex,3157006N403B4B9JLJ02,LEI,ULZ5 Index,DE000F10NUG1,ISIN,"חו""ל",גרמניה,EUREX,מניות לרבות מדדי מניות,לא,EUR,937.811439983,3.8807,84370.0,9545.27228,71.440%,1.223%
170,15092,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,NQZ5 Index,79965117,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,105.196032647,3.306,2490175.0,3815.89208,28.560%,0.489%
170,9647,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index משתנה,557001076,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,25.138105661,0.022332,4499000.0,25256.67406,191.134%,0.291%
170,9647,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM NKZ5 Index התחייבות,557001077,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-1099468526.6308,0.022332,100.0,-24553.33114,-185.811%,-0.283%
170,9647,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index משתנה,557001078,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,126.616669041,0.022332,314100.0,88815.02446,672.121%,1.022%
170,9647,Osaka Exchange,3538001249AILNPRUX57,LEI,12/2025 JPM TPZ5 Index התחייבות,557001079,פנימי,"חו""ל",יפן,אחר,מניות לרבות מדדי מניות,לא,JPY,-3962710777.15152,0.022332,100.0,-88495.25708,-669.701%,-1.019%
170,9647,Chicago Mercantile Exchange,LCZ7XYGSLJUHFXXNXD88,LEI,12/2025 JPM ESZ5 Index משתנה,557001080,פנימי,"חו""ל","ארה""ב",CME,מניות לרבות מדדי מניות,לא,USD,475.507114455,3.306,673875.0,529674.68571,4008.390%,6.096%
