מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)",שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,9647,ארגו פרופרטיז אן.וי.,70252750,"מספר תאגיד או שותפות בחו""ל",ארגו פרופרטיז,NL0015000D84,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ILS,101456.19,1.0,11110.0,0.0,11271.78271,0.466%,0.484%,0.130%
170,9647,"מבטח שמיר אחזקות בע""מ",520034125,ח.פ.,מבטח שמיר,IL0001270193,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,35545.122,1.0,27530.0,0.0,9785.57212,0.376%,0.420%,0.113%
170,9647,"אלקטרה בע""מ",520028911,ח.פ.,אלקטרה,IL0007390375,ISIN,מניות,ישראל,ישראל,סחיר,TASE,השקעה ואחזקות,לא,ILS,8320.307,1.0,192960.0,102.084,16156.94907,0.217%,0.694%,0.186%
170,9647,"חברת גב-ים לקרקעות בע""מ",520001736,ח.פ.,גב ים,IL0007590198,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,495694.84,1.0,3930.0,0.0,19480.80722,0.225%,0.836%,0.224%
170,9647,ישרס אחזקות בעמ,516632387,ח.פ.,ישרס אחזקות,IL0012029778,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,26079.235,1.0,37200.0,0.0,9701.47542,0.407%,0.416%,0.112%
170,9647,"אלקטרה נדל""ן בע""מ",510607328,ח.פ.,אלקטרה נדלן,IL0010940448,ISIN,מניות,ישראל,ישראל,חסום,TASE,"נדל""ן מניב בחו""ל",לא,ILS,31494.264,1.0,4776.274,0.0,1504.25236,0.049%,0.065%,0.017%
170,9647,"איירפורט סיטי בע""מ",511659401,ח.פ.,ארפורט סיטי,IL0010958358,ISIN,מניות,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ILS,255463.884,1.0,6144.0,0.0,15695.70102,0.219%,0.674%,0.181%
170,9647,"אנרג'יקס – אנרגיות מתחדשות בע""מ",513901371,ח.פ.,אנרגיקס,IL0011233553,ISIN,מניות,ישראל,ישראל,סחיר,TASE,אנרגיה מתחדשת,לא,ILS,24880.469,1.0,1428.0,0.0,355.29309,0.005%,0.015%,0.004%
170,9647,"נטו מלינדה סחר בע""מ",511725459,ח.פ.,נטו מלינדה,IL0011050973,ISIN,מניות,ישראל,ישראל,סחיר,TASE,מסחר,לא,ILS,43967.631,1.0,13290.0,0.0,5843.29812,0.211%,0.251%,0.067%
170,9647,"ארית תעשיות בע""מ",520033358,ח.פ.,ארית תעשיות,IL0005870147,ISIN,מניות,ישראל,ישראל,סחיר,TASE,ביטחוניות,לא,ILS,34328.748,1.0,4444.0,0.0,1525.56957,0.034%,0.065%,0.018%
