מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס,בעל עניין/צד קשור,"מח""מ",שיעור ריבית,תשואה לפדיון,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
662,9858,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,421153.75,1.0,109.77,462.30047,0.691284,0.000858
662,9858,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,176533.26,1.0,116.95,206.45565,0.308715,0.000383
662,9862,"קרדיטו הנפקות בע""מ",516804499.0,ח.פ.,קרדיטו אגח א,IL0012103276,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,9.05,0.073,0.0567,ilAAA,S&P מעלות,נייר ערך,ILS,325778.84,1.0,116.95,380.99835,0.335995,0.000219
662,9862,"אלה פקדונות בע""מ",515666881.0,ח.פ.,אלה פקדון אגח ה,IL0011625774,ISIN,מוצר מאוגח - שכבת חוב (Tranche) בדרוג AA- ומעלה,ישראל,ישראל,סחיר,TASE,"ריבית ואג""ח",לא,2.78,0.0005,0.0264,ilAAA,S&P מעלות,נייר ערך,ILS,685924.55,1.0,109.77,752.93938,0.664004,0.000434
214,12028,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,13415,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,14198,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,14199,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,14200,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,15038,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,15277,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,15278,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,2173,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,2175,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
214,8806,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,,,
