מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",619.23015,0.00521
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",497.10294,0.004182
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",79.14985,0.000666
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",550.61554,0.004633
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",513.05056,0.004317
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",537.32782,0.004521
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",47.25393,0.000397
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",590.93284,0.004972
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",334.33722,0.002813
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",732.37868,0.006162
214,14199,החזקה באפיק השקעה מובטח תשואה,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",266.79919,0.002245
