מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה
214,9827,התחייבות להשקעה,PONTIFAX VI GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pontifax (Israel) VI,12551428.0,פנימי,USD,2021-01-04,1466.92459,4849.652695,454.746624,1503.39234,0.31,2030-10-31 00:00:00
214,9827,התחייבות להשקעה,Hg Mercury 3 General Partner (Guernsey) Limited,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Hg Mercury 3,12751041.0,פנימי,EUR,2021-06-22,715.89466,2778.172407,285.447068,1107.73444,0.398727,2031-01-31 00:00:00
214,9827,התחייבות להשקעה - צמיתה,ICG ShineCo-Invest LP(Delaware),"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",ICG Shine Co Investor Feeder LP,12551475.0,פנימי,USD,2022-05-26,967.76497,3199.430991,23.018971,76.10072,0.023785,NR
214,9827,התחייבות להשקעה,"PGREF I PARAMOUNT PLAZA GP, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",1633 Broadway פנסיה ישיר,12561067.0,פנימי,USD,2020-05-27,6526.662,21577.144572,0.0,0.0,0.0,NR
214,9827,התחייבות להשקעה,Pitango Venture Capital Fund IX LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pitango Venture Capital Fund IX LP,12551555.0,פנימי,USD,2025-08-04,1876.29173,6203.020459,1576.085054,5210.53719,0.84,2034-02-13 00:00:00
214,9827,התחייבות להשקעה,Senior Loan Fund I General Partner S.a.r.l.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Arcmont Senior Loan Fund I,12551292.0,פנימי,EUR,2017-03-29,150.6,584.43342,26.82709,104.10789,0.178134,2026-07-21 00:00:00
214,9827,התחייבות להשקעה,"TPG Healthcare Partners GenPar, L.P","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",TPG Healthcare Partners LP,12551410.0,פנימי,USD,2019-09-25,1049.39227,3469.290845,123.214987,407.34875,0.117415,2029-09-30 00:00:00
214,9827,התחייבות להשקעה,"Insight Venture Management, LLC(Delaware limited liability company)","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Insight Partners (Cayman) XIII L.P,12551530.0,פנימי,USD,2024-09-05,2033.62975,6723.179954,1541.188381,5095.16879,0.757851,2033-01-01 00:00:00
214,9827,התחייבות להשקעה,Bridgepoint Direct Lending II GP S.a r.l.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Bridgepoint Direct Lending II,12551400.0,פנימי,EUR,2018-03-22,419.0,1626.0133,325.528791,1263.27958,0.776918,2025-10-31 00:00:00
214,9827,התחייבות להשקעה,Permira Credit Solutions V,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Permira Credit Solutions V,12551494.0,פנימי,EUR,2023-01-09,5728.1,22229.03767,1285.385639,4988.19605,0.224399,2032-02-01 00:00:00
214,9827,התחייבות להשקעה,Brookfield Real Estate Finance Fund IV GP LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Brookfield Capital Partners IV LP,12551283.0,פנימי,USD,2016-03-21,2572.48998,8504.651874,66.304388,219.20231,0.025774,2026-02-01 00:00:00
214,9827,התחייבות להשקעה,CEVA A GP (Lux) Sarl,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Cathedral Square עמיתים,12102190.0,פנימי,GBP,2021-10-18,1031.437,4580.508573,34.326282,152.43959,0.03328,2031-10-31 00:00:00
214,9827,התחייבות להשקעה,"JP Growth Opportunity X, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",JVP GROWTH OPPORTUNITY X,12109113.0,פנימי,USD,2021-04-15,116.0,383.496,0.0,0.0,0.0,NR
214,9827,התחייבות להשקעה,PONTIFAX VI GP LIMITED PARTNERSHIP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Pontifax (Israel) VI L.P,12592005.0,פנימי,USD,2021-01-04,122.72765,405.737611,38.045571,125.77866,0.31,2030-10-31 00:00:00
214,9827,התחייבות להשקעה,Viola Credit GL II (LUX) GP S. r.l,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Viola Credit GL II LUX,12551544.0,פנימי,EUR,2025-04-23,944.706,3666.120574,759.343499,2946.78432,0.803788,2034-03-31 00:00:00
214,9827,התחייבות להשקעה,Walton Street Managers VIII LP,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Walton Street Real Estate VIII עמיתים,12561049.0,פנימי,USD,2017-05-25,141.364,467.349384,27.985438,92.51986,0.197967,2027-04-30 00:00:00
214,9827,התחייבות להשקעה,SIGNAL ALPHA III GP LIMITED,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Signal Alpha III,12561130.0,פנימי,EUR,2024-07-03,379.0,1470.7853,194.298389,754.01376,0.51266,2032-06-30 00:00:00
214,9827,התחייבות להשקעה,"Arkin Bio Capital general partner, limited partnership","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Arkin BioCapital,12551447.0,פנימי,USD,2022-01-20,1349.02939,4459.891163,836.146019,2764.29874,0.619813,2031-09-30 00:00:00
214,9827,התחייבות להשקעה,Coller International General Partnre XI L.P,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Coller GP-led and Direct Secondaries - B L.P,12551507.0,פנימי,USD,2024-08-19,762.5625,2521.031625,658.029301,2175.44487,0.862918,2034-05-10 00:00:00
214,9827,התחייבות להשקעה,EQT Infrastructure IV (GP) SCS,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",EQT Infrastructure IV,12551407.0,פנימי,EUR,2019-06-04,2512.42591,9749.971229,507.452029,1969.26909,0.201976,2030-12-01 00:00:00
214,9827,התחייבות להשקעה,"Silver Lake Partners VI, L.P.","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Silver Lake VI,12596006.0,פנימי,USD,2021-01-05,234.37399,774.840411,13.8547,45.80364,0.059113,2030-05-31 00:00:00
214,9827,התחייבות להשקעה,Crestbridge Management Company S.A.3 & Bridgepoint Credit Services S.a r.l.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Bridgepoint Direct Lending III,12551454.0,פנימי,EUR,2022-01-10,3332.9,12933.98503,949.149339,3683.36384,0.284781,2031-11-30 00:00:00
214,9827,התחייבות להשקעה - צמיתה,Permira LP Coinvest GP S.a r.l.,"תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Magnesium Co-Invest,12551468.0,פנימי,USD,2022-05-04,968.46534,3201.746414,0.0,0.0,0.0,NR
214,9827,התחייבות להשקעה,"Horsley Bridge XIII Venture, LP","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Horsley Bridge XIII Venture,12551320.0,פנימי,USD,2019-10-07,1597.64246,5281.805973,125.894225,416.20631,0.078799,2031-05-31 00:00:00
214,9827,התחייבות להשקעה,"Greenspring Associates, LLC","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",StepStone VC Secondaries Fund V,12751052.0,פנימי,USD,2022-01-26,1593.25159,5267.289757,0.0,0.0,0.0,2031-01-31 00:00:00
214,9827,התחייבות להשקעה,"Apollo Hybrid Value Advisors II, L.P","תא ללא תוכן, המשך בתא הבא","תא ללא תוכן, המשך בתא הבא",Apollo Hybrid Value Overseas Partners II,12751047.0,פנימי,USD,2021-11-24,3847.06626,12718.401056,337.193405,1114.7614,0.087649,2031-09-30 00:00:00
