מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,הגעת לשדה האחרון בשורה זו
662,15281,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,1.13,1.0,149.2,0.00169,0.148506,0.0,הגעת לשדה האחרון בשורה זו
662,15281,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,0.68,1.0,464.5,0.00314,0.275922,0.0,הגעת לשדה האחרון בשורה זו
662,15281,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,1.37,1.0,169.8,0.00233,0.204745,0.0,הגעת לשדה האחרון בשורה זו
662,2164,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,2400.88,1.0,149.2,3.58212,0.148468,3e-06,הגעת לשדה האחרון בשורה זו
662,2164,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,2906.78,1.0,169.8,4.93571,0.20457,4e-06,הגעת לשדה האחרון בשורה זו
662,2164,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,1435.66,1.0,464.5,6.66862,0.276394,6e-06,הגעת לשדה האחרון בשורה זו
662,2164,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,555.67,1.0,1609.0,8.94069,0.370565,8e-06,הגעת לשדה האחרון בשורה זו
662,9856,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,453.14,1.0,169.8,0.76943,0.20457,3e-06,הגעת לשדה האחרון בשורה זו
662,9856,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,374.28,1.0,149.2,0.55842,0.148468,2e-06,הגעת לשדה האחרון בשורה זו
662,9856,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,223.81,1.0,464.5,1.03958,0.276395,4e-06,הגעת לשדה האחרון בשורה זו
662,9856,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,86.62,1.0,1609.0,1.39377,0.370565,5e-06,הגעת לשדה האחרון בשורה זו
662,9858,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,309.8,1.0,1609.0,4.98468,0.370565,9e-06,הגעת לשדה האחרון בשורה זו
662,9858,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,800.42,1.0,464.5,3.71794,0.276395,6e-06,הגעת לשדה האחרון בשורה זו
662,9858,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,1620.61,1.0,169.8,2.75179,0.20457,5e-06,הגעת לשדה האחרון בשורה זו
662,9858,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,1338.56,1.0,149.2,1.99713,0.148468,3e-06,הגעת לשדה האחרון בשורה זו
662,9862,נאוויטס פטרוליום שותפות מוגבלת,550263107.0,מספר שותפות,נאוויטס אופציה 6,IL0012288242,ISIN,ישראל,"ארה""ב",סחיר,TASE,IL0011419699,חיפושי נפט וגז,2026-08-31,כן,ILS,12000.0,1.0,1202.34,1.0,1609.0,19.34568,0.370565,1.1e-05,הגעת לשדה האחרון בשורה זו
662,9862,"אמות השקעות בע""מ",520026683.0,ח.פ.,אמות אפ 12,IL0012250366,ISIN,ישראל,ישראל,סחיר,TASE,IL0010972789,"נדל""ן מניב בישראל",2026-12-31,כן,ILS,2768.75,1.0,6289.62,1.0,169.8,10.67977,0.20457,6e-06,הגעת לשדה האחרון בשורה זו
662,9862,"זפירוס ווינג אנרג'יס בע""מ",516537560.0,ח.פ.,זפירוס אפ 1,IL0011947038,ISIN,ישראל,ישראל,סחיר,TASE,IL0011946956,אנרגיה מתחדשת,2026-06-30,כן,ILS,1650.0,1.0,3106.44,1.0,464.5,14.42942,0.276395,8e-06,הגעת לשדה האחרון בשורה זו
662,9862,"ג'י סיטי בע""מ",520033234.0,ח.פ.,ג'י סיטי אפ 11,IL0012148164,ISIN,ישראל,אירופה,סחיר,TASE,IL0001260111,"נדל""ן מניב בחו""ל",2027-12-15,לא,ILS,2038.15,1.0,5194.98,1.0,149.2,7.75091,0.148468,4e-06,הגעת לשדה האחרון בשורה זו
214,12028,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,
214,13415,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,
214,14198,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,
214,14199,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,
214,14200,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,
214,15038,הגעת לשדה האחרון בשורה זו,,,,,,,,,,,,,,,,,,,,,,,
