Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 54
,168,12155.0,,,,25000996.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2025-02-17,A1.il,מידרוג Moodys,מנפיק,ILS,3.11,משתנה,0.066,,,,0.0652,2029-02-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,62099.46,98.96,1.0,61.45362,61.45362,,,,,5.1e-05,2e-06,
,168,12155.0,,,,25001005.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2025-03-20,A1.il,מידרוג Moodys,מנפיק,ILS,9.2,משתנה,0.067,,,,0.0567,2047-12-31,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,566745.47,101.4,1.0,574.67991,574.67991,,,,,0.000485,2e-05,
,168,12155.0,,,,25000961.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-08-25,A1.il,מידרוג Moodys,מנפיק,ILS,2.09,משתנה,0.067,,,,0.0601,2028-01-01,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,341777.24,100.53,1.0,343.58866,343.58866,,,,,0.00029,1.2e-05,
,168,12155.0,,,,25000959.0,תאגיד,,ישראל,,אשראי חוץ בנקאי,לא,כן,,2024-08-26,NR,NR,NR,ILS,3.28,קבועה,0.04935,,,,0.0445,2029-08-20,החוב לא נחות,,,,2025-09-30 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,112129.11,105.9,1.0,118.74473,118.74473,,,,,0.0001,4e-06,
,168,12155.0,,,,25000933.0,תאגיד,תשתיות - שלב הקמה,ישראל,,קלינטק,לא,כן,,2024-06-26,NR,NR,NR,ILS,9.02,קבועה,0.0488,,,,0.0456,2046-06-30,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,822574.62,110.52,1.0,909.10946,909.10946,,,,,0.000767,3.2e-05,
,168,12155.0,,,,25000932.0,תאגיד,תשתיות - שלב הקמה,ישראל,,קלינטק,לא,כן,,2024-06-26,NR,NR,NR,ILS,8.65,קבועה,0.0488,,,,0.0458,2046-03-31,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1051892.24,110.1,1.0,1158.13336,1158.13336,,,,,0.000977,4.1e-05,
,168,12155.0,,,,25000931.0,תאגיד,תשתיות - שלב הקמה,ישראל,,קלינטק,לא,כן,,2024-06-26,NR,NR,NR,ILS,8.87,קבועה,0.0488,,,,0.0457,2046-12-31,החוב לא נחות,,,,2024-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1015659.65,110.41,1.0,1121.38982,1121.38982,,,,,0.000946,3.9e-05,
,168,12155.0,,,,25000927.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-06-13,A1.il,מידרוג Moodys,מנפיק,ILS,2.09,משתנה,0.067,,,,0.06,2028-01-01,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,1014830.92,100.55,1.0,1020.41249,1020.41249,,,,,0.000861,3.6e-05,
,168,12155.0,,,,25000926.0,תאגיד,תשתיות - שלב הקמה,ישראל,,שירותים,לא,כן,,2024-06-13,A1.il,מידרוג Moodys,מנפיק,ILS,9.34,משתנה,0.067,,,,0.0528,2047-12-31,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,556908.46,104.76,1.0,583.41731,583.41731,,,,,0.000492,2e-05,
,168,12155.0,,,,25000925.0,תאגיד,תשתיות - שלב הקמה,ישראל,,בנייה,לא,כן,,2024-06-16,A1.il,מידרוג Moodys,מנפיק,ILS,0.89,משתנה,0.066,,,,0.0564,2026-08-28,החוב לא נחות,,,,2023-12-31 00:00:00,,,,כן,חברת ציטוט,,אי-תלות,2025-09-30,2025-09-30,,465438.06,100.69,1.0,468.64959,468.64959,,,,,0.000395,1.6e-05,
