Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 27
,168,2016.0,CONCORD THREE RIVERS HOLDCO L.P,,,CPV 3Rivers,25300002.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,"ארה""ב",לא,2021-03-01,USD,דיווח מנהל הקרן,אי-תלות,2024-09-30,3.306,2229.50352,7370.73865,,0.003539,0.000394,
,168,2016.0,AAE2 GP LLP,,,Spinnaker - Co-Inv Arjun 2 (AAE2),291231263.0,פנימי,קרן אנרגיה ותשתיות,,"חו""ל",,,אירופה,לא,2023-10-01,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,3558.58079,13809.78447,0.008896,0.006631,0.000739,
,168,2016.0,Silverstein Properties LLC,,,John 116 הון QFPF,9443.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2021-12-22,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,907.11028,2998.90659,,0.00144,0.00016,
,168,2016.0,"TPG MMI Partners GenPar, L.P.",,,"TPG MMI PARTNERS, LP",291231090.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,גלובלי,לא,2020-09-17,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,4200.49769,13886.84536,0.059751,0.006668,0.000744,
,168,2016.0,CVC Capital Partners VII Limited,,,CVC Capital Partners VII,291231017.0,פנימי,קרן השקעה אחרת,,"חו""ל",,,אירופה,לא,2017-05-24,EUR,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.8807,1038.6419,4030.65762,6.7e-05,0.001935,0.000215,
,168,2016.0,FPG CT MANAGEMENT LLC,,,Chase Dallas,9371.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2016-08-01,USD,דיווח מנהל הקרן,אי-תלות,2024-12-31,3.306,439.66573,1453.53492,,0.000698,7.7e-05,
,168,2016.0,LRC-GP RF3 S.a r.l.,,,LRC England 2,9408.0,פנימי,"קרן נדל""ן",,"חו""ל",,,בריטניה,לא,2024-01-11,GBP,דיווח מנהל הקרן,אי-תלות,2024-12-31,4.4409,2171.9494,9645.41009,,0.004631,0.000516,
,168,2016.0,"Blackstone Property Associates, LP",,,Blackstone BioMed Life Science Real Estate LP,291231119.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2021-02-25,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,1379.08306,4559.24861,0.000137,0.002189,0.000244,
,168,2016.0,"TPG Growth GenPar V, L.P.",,,"TPG Growth VI, L.P.",291231282.0,פנימי,פרייבט אקוויטי,,"חו""ל",,,"ארה""ב",לא,2024-06-28,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2048.04204,6770.827,0.000455,0.003251,0.000362,
,168,2016.0,ICG Strategic Equity III (Offshore) GP LP,,,ICG Strategic Equity Fund III,291231066.0,פנימי,"קרן נדל""ן",,"חו""ל",,,"ארה""ב",לא,2019-07-31,USD,דיווח מנהל הקרן,אי-תלות,2025-06-30,3.306,2645.92988,8747.44418,0.001202,0.0042,0.000468,
