Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מטבע פעילות,תאריך העמדת התחייבות לקרן השקעה,סכום המחויבות הראשוני (במטבע הדיווח של קרן ההשקעה),"סכום המחויבות הראשוני (באלפי ש""ח)",יתרת המחויבות לתקופת הדיווח (במטבע הדיווח של קרן ההשקעה),"יתרת המחויבות לתקופת הדיווח (באלפי ש""ח)",שיעור יתרת המחויבות,תאריך פקיעת מחויבות להשקעה,Unnamed: 18
,665,1651.0,התחייבות להשקעה,RedTree French Real Estate GP S.a.r.l,,,REDTREE FRENCH REAL ESTATE FUND SCS SICAV-RAIF,291231169.0,פנימי,EUR,2021-12-28,283.5,1100.17845,32.500329,126.12403,0.114639,2028-12-31,
,665,1651.0,התחייבות להשקעה,Mideal Asset Management Ltd,,,Mideal,291231029.0,פנימי,EUR,2017-11-30,83.447,323.832773,5.57948,21.65229,0.066862,2026-01-25,
,665,1651.0,התחייבות להשקעה,Inflexion Buyout Fund VI GP Guernsey Limited,,,Inflexion Buyout Fund VI (No.2) LP,291231188.0,פנימי,GBP,2022-03-10,100.0,444.09,45.108689,200.32318,0.451086,2032-03-31,
,665,1651.0,התחייבות להשקעה,"STAGE ONE SPV GP, LIMITED PARTNERSHIP",,,Stage One S.P.V R.S Limited Partnership,291231131.0,פנימי,USD,2021-03-24,23.549,77.852994,0.843911,2.78997,0.035836,2029-03-31,
,665,1651.0,התחייבות להשקעה,"MSD Partners (GP) – RCOF II, LLC",,,MSD R.E. Credit Opp II - Pen Mashlima,291231238.0,פנימי,USD,2022-12-11,669.887,2214.646422,300.759691,994.31154,0.44897,2030-12-11,
,665,1651.0,התחייבות להשקעה,"Hamilton Lane Advisors, LLC",,,Hamilton Lane Strategic Opportun 2017,291231014.0,פנימי,USD,2017-03-20,78.473,259.431738,15.91261,52.60709,0.202778,2025-12-31,
,665,1651.0,התחייבות להשקעה,"Fortissimo Capital Fund V (GP), L.P",,,"Fortissimo Capital Fund V, L.P.",291231075.0,פנימי,USD,2020-01-29,243.454,804.858924,9.05182,29.92532,0.03718,2030-01-31,
,665,1651.0,התחייבות להשקעה,נוי אי. איי תשתיות ואנרגיה ג'י.פי,,,נוי חוצה ישראל - חדש,691239766.0,פנימי,ILS,2015-07-02,237.897,237.897,55.69775,55.69775,0.234125,2029-07-19,
,665,1651.0,התחייבות להשקעה,FATTAL EUROPEAN PARTNERSHIP 2 GP LTD,,,FATTAL EUROPEAN PARTNERSHIP II LP,291231194.0,פנימי,EUR,2022-04-28,333.0,1292.2731,10.658801,41.36361,0.032008,2032-04-14,
,665,1651.0,התחייבות להשקעה,AAE2 GP LLP,,,ARJUN Infra 2 - OPS,291231228.0,פנימי,EUR,2022-11-02,311.136,1207.425475,2.49415,9.67905,0.008016,2037-07-18,
,665,1651.0,התחייבות להשקעה,Shaked Partners II G.P Ltd.,,,Shaked Partners II,291231256.0,פנימי,ILS,2023-06-06,584.881,584.881,495.49975,495.49975,0.84718,2030-06-06,
,665,1651.0,התחייבות להשקעה,"ECV IL OPP GP II, L.P.",,,ECV IL OPP II L.P.,291231186.0,פנימי,USD,2022-02-28,37.5,123.975,15.437428,51.03614,0.411664,2030-07-31,
,665,1651.0,התחייבות להשקעה,JAL Ventures Fund II,,,JAL II,291231125.0,פנימי,USD,2021-03-31,111.917,369.997602,30.348499,100.33214,0.271169,2028-05-01,
,665,1651.0,התחייבות להשקעה,"Hamilton Lane Advisors, LLC",,,Hamilton Lane Strategic Opportunities VI 2020,291231118.0,פנימי,USD,2021-02-25,600.0,1983.6,54.194289,179.16632,0.090323,2026-02-28,
