Unnamed: 0,מספר קרן,מספר מסלול,מאפיין עיקרי,חודש הנפקת שכבה,חודש הבדיקה,"שווי הנכסים באפיק (באלפי ש""ח)",שיעור מסך נכסי ההשקעה,Unnamed: 8
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,46.91593,0.003931,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,59.43974,0.004981,
,168,14348.0,החזקה באפיק השקעה מובטח תשואה,,,7.92212,0.000663,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2424.82971,0.003094,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,4535.59965,0.005787,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,1883.71836,0.002403,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,5463.46896,0.006971,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2572.31765,0.003282,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,199.96817,0.000255,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,1335.15521,0.001703,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2805.5531,0.003579,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,3941.19759,0.005028,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2803.27786,0.003576,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,3658.9808,0.004668,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,4363.88845,0.005568,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2448.71005,0.003124,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2160.63507,0.002756,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,4635.71492,0.005915,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,617.84766,0.000788,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,1903.88319,0.002429,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2095.28401,0.002673,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,1779.89721,0.002271,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,3365.65784,0.004294,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,3144.38964,0.004012,
,168,15342.0,החזקה באפיק השקעה מובטח תשואה,,,2846.57059,0.003632,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,290775.10822,0.002663,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,253508.06249,0.002322,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,26911.42379,0.000246,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,530400.60713,0.004859,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,377567.23312,0.003459,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,329543.8169,0.003019,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,179683.23598,0.001646,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,346178.74728,0.003171,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,623867.7343,0.005715,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,83149.03454,0.000761,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,383087.30657,0.003509,
,168,2009.0,החזקה באפיק השקעה מובטח תשואה,,,735265.66195,0.006736,
