Unnamed: 0,מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה,Unnamed: 19
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8807 4.80% 2028,8288078.0,2013-10-01,2.7683,צמוד למדד המחירים לצרכן,2028-10-01,0.048,0.0486,79536400.99,121.230274,104172.99068,96422.19671,עלות מופחתת,0.008434,0.00343,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8903 4.8% 2036,8289030.0,2021-11-01,8.5622,צמוד למדד המחירים לצרכן,2036-11-01,0.048,0.0486,159937282.68,118.150545,241960.22355,188966.77076,עלות מופחתת,0.01653,0.006722,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8899 4.8% 2036,8288990.0,2021-07-01,8.4303,צמוד למדד המחירים לצרכן,2036-07-01,0.048,0.0486,71631744.14,118.380945,108134.10351,84798.33566,עלות מופחתת,0.007417,0.003016,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8781 4.8%,8287815.0,2011-08-01,0.8239,צמוד למדד המחירים לצרכן,2026-08-01,0.048,0.0486,27606063.62,123.489416,34857.59007,34090.56672,עלות מופחתת,0.002982,0.001212,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8851 4.80% 2032,8288516.0,2017-06-01,5.7006,צמוד למדד המחירים לצרכן,2032-06-01,0.048,0.0486,93008599.85,121.613877,133135.53137,113111.3641,עלות מופחתת,0.009894,0.004024,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8834 4.80% 2031,8288342.0,2016-01-01,4.6555,צמוד למדד המחירים לצרכן,2031-01-01,0.048,0.0486,23916092.09,121.131032,33068.08112,28969.80927,עלות מופחתת,0.002534,0.00103,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8868 4.8% 2033,8288680.0,2018-11-01,6.6701,צמוד למדד המחירים לצרכן,2033-11-01,0.048,0.0486,243289.83,120.649167,355.45007,293.52715,עלות מופחתת,2.5e-05,1e-05,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8801 4.8% 2028,8288011.0,2013-04-02,2.3937,צמוד למדד המחירים לצרכן,2028-04-02,0.048,0.0486,49391194.93,123.631538,63712.97933,61063.09406,עלות מופחתת,0.005341,0.002172,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8862 4.80% 2033,8288620.0,2018-05-01,6.3252,צמוד למדד המחירים לצרכן,2033-05-01,0.048,0.0486,142734670.92,122.092672,208935.08357,174268.5731,עלות מופחתת,0.015244,0.006199,
,168,12155.0,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8879 4.8% 2034,8288790.0,2019-10-02,7.2485,צמוד למדד המחירים לצרכן,2034-10-02,0.048,0.0486,116777194.82,120.48536,173360.33154,140699.42369,עלות מופחתת,0.012308,0.005005,
