מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,מספר עסקה (רגל 1),מטבע פעילות (רגל 1),שער חליפין,ערך נקוב (רגל 1),שווי הוגן במטבע הנסחר (רגל 1),שיעור מנכסי אפיק ההשקעה (רגל 1),שיעור מסך נכסי ההשקעה (רגל 1),מספר עסקה (רגל 2),מטבע פעילות (רגל 2),שער חליפין ,ערך נקוב (רגל 2),שווי הוגן במטבע הנסחר (רגל 2),שיעור מנכסי ההשקעה (רגל 2),שיעור מסך אפיק ההשקעה (רגל 2),"שווי הוגן (נטו  באלפי ש""ח)","ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סוג הנכס,פקטור מוביל,פקטור נוסף,טיקר,בעל עניין/צד קשור,מועד ההתקשרות בעסקה,מועד סיום חוזי,תדירות Reset,סוג הסליקה,נספח התחשבנות בטחונות - CSA,גורם מצטט,ריבית עוגן,תקופת ריבית עוגן,שיעור ריבית עוגן,שער נכס הבסיס במועד ההתקשרות בעסקה,שער הנגזר במועד ההתקשרות בעסקה,האם קיים קנס בגין יציאה מוקדמת,שיעור הקנס בגין יציאה מוקדמת,צד נגדי - Counterparty,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,1589,Unfunded Swap,777113143.0,ILS,1,9650.032,9.65,0.00012,0,777113143.0,USD,3.306,-2918.945,-2.919,0,-0.00012,6845.407,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",MVSMHTR,לא,23/06/2025,25/06/2026,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,LUMIILITXXX,0.08302,0.002
163,1589,Unfunded Swap,777113176.0,ILS,1,17762.15,17.762,0.00022,1e-05,777113176.0,USD,3.306,-5372.701,-5.373,-1e-05,-0.00022,5353.435,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",S5SFTW,לא,25/06/2025,26/06/2026,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,CITIILITXXX,0.06493,0.00156
163,1589,Unfunded Swap,777113184.0,ILS,1,15401.528,15.402,0.00019,0,777113184.0,USD,3.306,-4658.659,-4.659,0,-0.00019,40357.597,"חו""ל","ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",S5TECH,לא,25/06/2025,26/06/2026,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,CITIILITXXX,0.48946,0.01179
163,1589,Unfunded Forward,777109935.0,USD,3.306,0.299,0,0,0,777109935.0,ILS,1,-0.987,-0.001,0,0,0.0,"חו""ל",ישראל,אחר,ריק במקור,"ארה""ב",ריק במקור,לא,21/01/2024,0/00/0000,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.0,0.0
163,2104,Unfunded Swap,888224359.0,ILS,1,38.37,0.038,4e-05,0,888224359.0,ILS,1,-38.37,-0.038,0,-4e-05,3.532,ישראל,"ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",CLIS IT,לא,12/11/2024,12/11/2025,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00335,2e-05
163,2104,Unfunded Swap,777112806.0,ILS,1,0.776,0.001,0,0,777112806.0,USD,3.306,-0.235,0,0,0,1.467,ישראל,"ארה""ב",מניות לרבות מדדי מניות,מדדי מניות,"ארה""ב",SPTR,לא,28/04/2025,28/04/2026,רבעוני,No-delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0,ריק במקור,ריק במקור,ריק במקור,POALILIT,0.00139,1e-05
163,2104,Unfunded Forward,777110198.0,JPY,2.233,-42873780.592,-42873.781,-0.90791,-0.00519,777110198.0,ILS,1,1093281.405,1093.281,0.00592,1.03671,85.876,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,7/03/2024,21/03/2030,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0.025,ריק במקור,ריק במקור,ריק במקור,CITIILITXXX,0.08143,0.00047
163,2104,Unfunded Forward,777110180.0,JPY,2.233,-8574756.118,-8574.756,-0.18158,-0.00104,777110180.0,ILS,1,211796.476,211.796,0.00115,0.20084,23.675,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,7/03/2024,23/05/2030,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0.025,ריק במקור,ריק במקור,ריק במקור,CITIILITXXX,0.02245,0.00013
163,2104,Unfunded Forward,777105040.0,USD,3.306,12230155.359,12230.155,38.34055,0.21897,777105040.0,JPY,2.233,-86834.103,-86.834,-1e-05,-0.00184,105.101,ישראל,ישראל,"מט""ח",אחר,"מט""ח/מט""ח",ריק במקור,לא,7/03/2024,23/05/2030,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,0.007,ריק במקור,ריק במקור,ריק במקור,CITIILITXXX,0.09966,0.00057
163,2104,Unfunded Forward,484789862.0,USD,3.306,-44000,-44,-0.13794,-0.00079,484789862.0,ILS,1,146784,146.784,0.00079,0.13919,1.302,ישראל,ישראל,"מט""ח",אחר,"מט""ח/₪",ריק במקור,לא,7/07/2025,3/12/2025,ללא,Delivery,קיים חוזה,הצד הנגדי,0.0,ללא,ריק במקור,3.336,ריק במקור,ריק במקור,ריק במקור,MIZBILIT,0.00123,1e-05
