מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,נכס בסיס (כתב אופציה),ענף מסחר,תאריך פקיעה,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער מימוש,יחס המרה,ערך נקוב (יחידות),שער נייר הערך,שער חליפין,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,12157,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,6640.454,1,0,0,0,0
163,12157,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,4328.622,3.306,0,0,0,0
163,12157,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,1356.97,1,1,0.014,1,0
660,12158,CHEQ AI,514957703,ח.פ.,CHEQ AI כאו,888224474,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2033-08-26 00:00:00,לא,ריק במקור,ILS,אחר,אי-תלות,2025-09-30 00:00:00,0.0005,1,452.235,1,0,0,0,0
660,12158,איתן מדיקל,514237122,ח.פ,איתן מדיקל כתב אופציה MAY/2030,888224482,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעות בהיי-טק,2030-05-30 00:00:00,לא,ריק במקור,USD,אחר,אי-תלות,2025-09-30 00:00:00,0.203,1,294.792,3.306,0,0,0,0
660,12158,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,125.455,1,1,0.001,1,0
163,14259,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,1608.962,1,1,0.016,1,0
660,14267,זוז פאוור בעמ,514881564,ח.פ.,זוז אופציה 1,1205160,פנימי,ישראל,ישראל,לא סחיר,מניות לרבות מדדי מניות,השקעה ואחזקות,28/03/2029,לא,9/04/2024,ILS,אחר,אי-תלות,30/09/2025,0,1,184.553,1,1,0.002,1,0
163,1589,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2156,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
163,2157,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור,ריק במקור
