מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם שותף כללי קרן השקעות,מספר מזהה שותף כללי קרן השקעות,סוג מספר מזהה שותף כללי קרן השקעות,שם קרן השקעה,מספר מזהה קרן השקעה,סוג מספר מזהה קרן השקעות,מאפיין עיקרי,אסטרטגיית קרן ההשקעה,"ישראל/חו""ל",מדינת התאגדות קרן השקעה,מיקום משרד השותף הכללי,מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך רכישה,מטבע פעילות,סוג גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,שער חליפין,NAV (במטבע הדיווח של קרן ההשקעה),"שווי הוגן (באלפי ש""ח)",שיעור החזקה בקרן השקעה,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2155,Schroders Capital Private Equity Seconda,ריק במקור,ריק במקור,Schroders Capital Private Equity Global,666112909,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,22/12/2024,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,6468.223,0.014971926060308212,0.0022,0.00023
163,2155,MIF II GP L.P.,ריק במקור,ריק במקור,ServerFarm,666111604,פנימי,קרן אנרגיה ותשתיות,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,30/08/2023,USD,דיווח מנהל קרן,אי-תלות,31/08/2025,3.306,שווי הוגן במטבע הקרן,28376.932,0.024705601845981365,0.00966,0.00101
163,2155,Signal Alpha III GP Limited,ריק במקור,ריק במקור,Signal Alpha 3,666111323,פנימי,קרן חוב,ריק במקור,"חו""ל",ריק במקור,ריק במקור,אירופה,לא,18/06/2023,EUR,דיווח מנהל קרן,אי-תלות,30/09/2025,3.881,שווי הוגן במטבע הקרן,7178.868,0.017357564406722276,0.00244,0.00026
163,2155,Signal Alpha II GP Limited,ריק במקור,ריק במקור,Signal Alpha II,666107073,פנימי,קרן חוב,ריק במקור,"חו""ל",ריק במקור,ריק במקור,אירופה,לא,12/08/2019,EUR,דיווח מנהל קרן,אי-תלות,30/09/2025,3.881,שווי הוגן במטבע הקרן,8147.555,0.004864603372891689,0.00277,0.00029
163,2155,Signal RE GP Limited,ריק במקור,ריק במקור,"Signal קרן השקעה חו""ל",666104070,פנימי,קרן חוב,ריק במקור,"חו""ל",ריק במקור,ריק במקור,אירופה,לא,3/08/2017,EUR,דיווח מנהל קרן,אי-תלות,12/08/2025,3.881,שווי הוגן במטבע הקרן,0,0,0,0
163,2155,HGGP Capital XVII LP,ריק במקור,ריק במקור,Southern Portfolio - HGI- גמל והשתלמות,666113352,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,9/06/2025,USD,דיווח מנהל קרן,אי-תלות,9/06/2025,3.306,שווי הוגן במטבע הקרן,43738.38,0.10974444444444444,0.01489,0.00156
163,2155,Stage One Capital (GP) II L.P,ריק במקור,ריק במקור,Stage One Ventures II קרן,666102975,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,11/07/2015,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,12262.483,0.030732657867236092,0.00417,0.00044
163,2155,tdr capital general partner iv lp,ריק במקור,ריק במקור,TDR 4 קרן השקעה,666106455,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,אירופה,לא,7/11/2018,EUR,דיווח מנהל קרן,אי-תלות,30/09/2025,3.881,שווי הוגן במטבע הקרן,5934.482,0.0003992513736522492,0.00202,0.00021
163,2155,0,ריק במקור,ריק במקור,THL קרן השקעה,666106570,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,15/01/2019,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,8728.928,0.002142206857956762,0.00297,0.00031
163,2155,TPG Growth GenPar VILP,ריק במקור,ריק במקור,"TPG Growth VI, LP",666113386,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,26/06/2025,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,18984.153,0.003752963053297917,0.00646,0.00068
163,2155,ECP Terra-Gen Growth Fund LLC,ריק במקור,ריק במקור,Terra Gen קרן השקעה,666108576,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,גלובלי,לא,17/08/2019,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,170.409,0.002572211610817953,6e-05,1e-05
163,2155,Thoma Bravo Partners XII L.P.,ריק במקור,ריק במקור,Thoma Bravo FXII?A?36 קרן השקעה,666103478,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,21/04/2016,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,10886.718,0.0016946278441040165,0.00371,0.00039
163,2155,TSO III GP Sarl,ריק במקור,ריק במקור,Tikehau-Eclairion,666112875,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,צרפת,לא,18/03/2020,EUR,דיווח מנהל קרן,אי-תלות,8/09/2025,3.881,שווי הוגן במטבע הקרן,29528.591,0.07450264185039497,0.01005,0.00105
163,2155,Presidio Management Group XI L.P.,ריק במקור,ריק במקור,U.S. Ventures Partners XI קרן הון סיכון,666103130,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,13/12/2022,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,12835.856,0.007984355497821989,0.00437,0.00046
163,2155,VENTR,ריק במקור,ריק במקור,VENTR 2017-29X,USG93539AB38,ISIN,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,12/11/2017,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,0,0,0,0
163,2155,VENTR,ריק במקור,ריק במקור,VENTR 31/18,USG9370WAC94,ISIN,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,6/03/2018,USD,דיווח מנהל קרן,אי-תלות,5/06/2024,3.306,שווי הוגן במטבע הקרן,960.664,0.0038326062930825293,0.00033,3e-05
163,2155,Vintage Investments VII L.P.,ריק במקור,ריק במקור,VINTAGE INVESTMENT 7,666102686,פנימי,פרייבט אקוויטי,ריק במקור,ישראל,ריק במקור,ריק במקור,ישראל,לא,27/10/2003,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,4776.542,0.01903079323159417,0.00163,0.00017
163,2155,Presidio Management Group XII L.P.,ריק במקור,ריק במקור,Viola Credit ALF III (2) L.P,666112552,פנימי,קרן חוב,ריק במקור,"חו""ל",ריק במקור,ריק במקור,Developed Markets - Americas,לא,21/07/2024,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,7447.457,0.008245089972136918,0.00253,0.00026
163,2155,AP Fund II GP LLC,ריק במקור,ריק במקור,blue atlantic,666105812,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,6/03/2018,USD,דיווח מנהל קרן,אי-תלות,27/02/2025,3.306,שווי הוגן במטבע הקרן,1650.052,0.022809069042396712,0.00056,6e-05
163,2155,AP Fund II GP LLC,ריק במקור,ריק במקור,blue atlantic 2 קרן השקעה,666105093,פנימי,"קרן נדל""ן",ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,7/02/2017,USD,דיווח מנהל קרן,אי-תלות,31/08/2025,3.306,שווי הוגן במטבע הקרן,2274.332,0.022800121943798584,0.00077,8e-05
163,2155,Colchis Capital Management L.P.,ריק במקור,ריק במקור,colchis קרן השקעה,666104088,פנימי,קרן גידור (Hedge Fund),ריק במקור,"חו""ל",ריק במקור,ריק במקור,גלובלי,לא,7/12/2017,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,350.038,0.005243869225598045,0.00012,1e-05
163,2155,Madison Realty Capital Debt Fund IV GP L,ריק במקור,ריק במקור,madison-קרן השקעה חול,666105820,פנימי,קרן חוב,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,6/03/2018,USD,דיווח מנהל קרן,אי-תלות,14/08/2025,3.306,שווי הוגן במטבע הקרן,7867.415,0.004225851943480652,0.00268,0.00028
163,2155,פונטיפקס 5  גי.פי ש.מ,ריק במקור,ריק במקור,pontifax V,666105846,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,28/03/2018,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,6151.841,0.014652523902157016,0.00209,0.00022
163,2155,Presidio Management Group XII L.P.,ריק במקור,ריק במקור,usvp XII קרן השקעה,666106877,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,12/05/2019,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,721.857,0.000614591759195073,0.00025,3e-05
163,2155,Presidio Management Group XIII L.P.,ריק במקור,ריק במקור,usvp XIII קרן השקעה,666111000,פנימי,פרייבט אקוויטי,ריק במקור,"חו""ל",ריק במקור,ריק במקור,"ארה""ב",לא,12/05/2019,USD,דיווח מנהל קרן,אי-תלות,30/09/2025,3.306,שווי הוגן במטבע הקרן,7650.11,0.011179038362364358,0.0026,0.00027
