מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,שם נייר ערך,מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,דירוג,שם מדרג,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,סכום לקבל (במטבע הפעילות),ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלי 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,14.445,31/03/2047,0.0375,0.04488,0.0,390000.0,1.0,91.85,358.215,,שווי הוגן,1e-05,0.02868,0.00354
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלי 0928,IL0011508798,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,2.928,30/09/2028,0.0225,0.0392,0.0,1304267.0,1.0,95.37,1243.879,,שווי הוגן,4e-05,0.09959,0.0123
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלית 0226,IL0011746976,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.411,28/02/2026,0.005,0.04008,0.0,41836.0,1.0,98.89,41.372,,שווי הוגן,1.69e-06,0.00331,0.00041
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,2092198.0,1.0,88.66,1854.943,,שווי הוגן,6e-05,0.14851,0.01835
14036,14039,האוצר - ממשלתית שקלית,ממשל שקלית 0537,IL0011661803,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,10.552,31/05/2037,0.015,0.04208,0.0,1576767.0,1.0,75.94,1197.397,,שווי הוגן,4e-05,0.09586,0.01184
14036,14039,United States of America,T 14/5/26,US912797QN08,"נקוב במט""ח","חו""ל","ארה""ב",FOREIGN_GOV_SEC,AA,S&P,USD,0.604,14/05/2026,0.0,0.0373,0.0,350000.0,3.306,97.743,1130.983,,שווי הוגן,1e-05,0.09055,0.01119
14036,14054,United States of America,T 14/5/26,US912797QN08,"נקוב במט""ח","חו""ל","ארה""ב",FOREIGN_GOV_SEC,AA,S&P,USD,0.604,14/05/2026,0.0,0.0373,0.0,730000.0,3.306,97.743,2358.908,,שווי הוגן,1e-05,1.0,0.03483
14036,14040,United States of America,T 14/5/26,US912797QN08,"נקוב במט""ח","חו""ל","ארה""ב",FOREIGN_GOV_SEC,AA,S&P,USD,0.604,14/05/2026,0.0,0.0373,0.0,800000.0,3.306,97.743,2585.104,,שווי הוגן,2e-05,1.0,0.08984
14036,14042,United States of America,T 14/5/26,US912797QN08,"נקוב במט""ח","חו""ל","ארה""ב",FOREIGN_GOV_SEC,AA,S&P,USD,0.604,14/05/2026,0.0,0.0373,0.0,2640000.0,3.306,97.743,8530.844,,שווי הוגן,5e-05,1.0,0.14791
14036,15685,בנק ישראל - מקמ,מ.ק.מ. 726,IL0082607214,"מק""מ קצר משנים עשר חודשים",ישראל,ישראל,TASE,RF,אחר,ILS,0.77,8/07/2026,0.0,0.04092,0.0,6425.0,1.0,96.96,6.23,,שווי הוגן,3.6e-07,1.0,0.01179
14044,14045,האוצר - ממשלתית צמודה,ממשל צמודה 0529,IL0011570236,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,3.634,31/05/2029,0.005,0.01929,0.0,300000.0,1.0,113.0,339.0,,שווי הוגן,1e-05,0.36238,0.04469
14044,14045,האוצר - ממשלתית צמודה,ממשל צמודה 0726,IL0011695645,צמוד למדד המחירים לצרכן בריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,0.833,31/07/2026,0.001,0.02648,0.0,128506.0,1.0,116.31,149.465,,שווי הוגן,1e-05,0.15977,0.0197
14044,14045,האוצר - ממשלתית שקלית,ממשל שקלי 0142,IL0011254005,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,11.17,31/01/2042,0.055,0.04344,0.0,84206.0,1.0,117.0,98.521,,שווי הוגן,2.72e-06,0.10532,0.01299
14044,14045,האוצר - ממשלתית שקלית,ממשל שקלי 0347,IL0011401937,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,14.445,31/03/2047,0.0375,0.04488,0.0,37000.0,1.0,91.85,33.985,,שווי הוגן,1.41e-06,0.03633,0.00448
14044,14045,האוצר - ממשלתית שקלית,ממשל שקלית 0330,IL0011609851,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,4.392,31/03/2030,0.01,0.03922,0.0,200000.0,1.0,88.66,177.32,,שווי הוגן,1e-05,0.18955,0.02337
14044,14045,האוצר - ממשלתית שקלית,ממשל שקלית 0335,IL0012023326,לא צמוד למדד המחירים לצרכן ריבית קבועה,ישראל,ישראל,TASE,RF,אחר,ILS,7.924,31/03/2035,0.04,0.04097,0.0,135500.0,1.0,101.25,137.194,,שווי הוגן,3.81e-06,0.14666,0.01808
