מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,זירת מסחר,ענף מסחר,נכס בסיס,תאריך פקיעה,בעל עניין/צד קשור,מטבע פעילות,שער מימוש,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017000M511-כלל,IL0859485117,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,-157.45,1.0,119600.0,-188.31416,0.418403,-1.6e-05
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C7700.0M511-ברס,IL0859999448,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,27.8,1.0,505100.0,140.4259,-0.312003,1.2e-05
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017500M510-כלל,IL0858770741,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,123.4,1.0,68900.0,85.02008,-0.1889,7e-06
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C003000M510-ת35,IL0858497501,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,5.35,1.0,1057300.0,56.52814,-0.125596,4e-06
214,2175,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017500M510-כלל,IL0858773224,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,-123.4,1.0,115900.0,-143.01636,0.317758,-1.2e-05
214,2175,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,LEI,SEDG US 03/20/26 C35,70142233,פנימי,מניה,"חו""ל","ארה""ב",CBOE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-03-20,לא,USD,35.0,-186.91,3.306,102300.0,-632.14455,1.404521,-5.4e-05
214,2175,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P610,70142243,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,610.0,-187.18,3.306,14400.0,-89.11167,0.197991,-7e-06
214,2175,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C200,70220307,פנימי,מניה,"חו""ל","ארה""ב",CME,תוכנה ואינטרנט,מניות לרבות מדדי מניות,2025-10-17,לא,USD,200.0,-105.33,3.306,500.0,-1.74103,0.003868,0.0
214,2175,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P650,70142237,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,650.0,187.18,3.306,53000.0,327.98046,-0.728718,2.8e-05
214,2175,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P595,70142244,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,595.0,-187.18,3.306,9900.0,-61.26428,0.136119,-5e-06
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017500M510-כלל,IL0858770741,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,67.79,1.0,68900.0,46.70395,-0.187458,4e-06
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P003000M510-ת35,IL0858510048,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,-2.94,1.0,50000.0,-1.46848,0.005894,0.0
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017500M510-כלל,IL0858773224,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,-67.79,1.0,115900.0,-78.56296,0.315333,-8e-06
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C017000M511-כלל,IL0859482718,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,86.49,1.0,127900.0,110.6253,-0.444024,1.1e-05
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017000M511-כלל,IL0859485117,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,17000.0,-86.49,1.0,119600.0,-103.44633,0.415209,-1e-05
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C7700.0M511-ברס,IL0859999448,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,15.27,1.0,505100.0,77.13994,-0.309622,7e-06
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P7700.0M511-ברס,IL0860002133,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,-15.27,1.0,514900.0,-78.63662,0.315629,-8e-06
214,2177,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C003000M510-ת35,IL0858497501,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,2.94,1.0,1057300.0,31.05252,-0.124637,3e-06
214,2177,"נייס בע""מ",520036872,ח.פ.,NICE US 10/17/25 C200,70220307,פנימי,מניה,"חו""ל","ארה""ב",CME,תוכנה ואינטרנט,מניות לרבות מדדי מניות,2025-10-17,לא,USD,200.0,-57.86,3.306,500.0,-0.9564,0.003838,0.0
214,2177,SolarEdge Technologies Inc,5493000K6Y58XXPDF853,LEI,SEDG US 03/20/26 C35,70142233,פנימי,מניה,"חו""ל","ארה""ב",CBOE,Semiconductors & Semiconductor Equipment,מניות לרבות מדדי מניות,2026-03-20,לא,USD,35.0,-102.68,3.306,102300.0,-347.255,1.393801,-3.5e-05
214,2177,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P595,70142244,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,595.0,-100.82,3.306,9900.0,-32.99832,0.132447,-3e-06
214,2177,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P650,70142237,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,650.0,100.82,3.306,53000.0,176.65765,-0.709063,1.8e-05
214,2177,SPDR S&P 500 ETF Trust,549300NZAMSJ8FXPQQ63,LEI,SPY US 10/31/25 P610,70142243,פנימי,מניה,"חו""ל","ארה""ב",NYSE,Other,מניות לרבות מדדי מניות,2025-10-31,לא,USD,610.0,-100.82,3.306,14400.0,-47.99755,0.192651,-4e-06
214,9823,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,P017500M510-כלל,IL0858773224,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,17500.0,-341.91,1.0,115900.0,-396.27026,0.31502,-9e-06
214,9823,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C003000M510-ת35,IL0858497501,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-10-30,לא,ILS,3000.0,14.81,1.0,1057300.0,156.62839,-0.124514,3e-06
214,9823,"מסלקת מעו""ף בע""מ",35-2582225,ח.פ.,C7700.0M511-ברס,IL0859999448,ISIN,מניה,ישראל,ישראל,TASE,Capital Markets,מניות לרבות מדדי מניות,2025-11-27,לא,ILS,7700.0,77.03,1.0,505100.0,389.09258,-0.309314,9e-06
