מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מאפיין עיקרי,שם נייר ערך,מספר נייר ערך,תאריך רכישה,"מח""מ",סוג הצמדה,מועד פדיון,שיעור ריבית,תשואה לפדיון,ערך נקוב (יחידות),שער נייר הערך,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8881,9888100.0,2019-12-01,7.413,צמוד למדד המחירים לצרכן,2034-12-01,0.048,0.0485,32756.1,119.323262,48.37774,39.08565,עלות מופחתת,0.007863,0.001323
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8892,9889200.0,2020-12-01,8.0429,צמוד למדד המחירים לצרכן,2035-12-01,0.048,0.0485,146946.28,120.274082,222.84732,176.73829,עלות מופחתת,0.035557,0.005985
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8864,9886400.0,2018-07-01,6.4923,צמוד למדד המחירים לצרכן,2033-07-01,0.048,0.0485,15221.73,120.041952,22.01331,18.27247,עלות מופחתת,0.003676,0.000618
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8901,9890100.0,2021-09-01,8.5984,צמוד למדד המחירים לצרכן,2036-09-01,0.048,0.0485,66645.15,116.868154,99.78018,77.88696,עלות מופחתת,0.015669,0.002637
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8785,9878500.0,2011-12-01,1.1349,צמוד למדד המחירים לצרכן,2026-12-01,0.048,0.0485,1212.39,124.333595,1.55456,1.50741,עלות מופחתת,0.000303,5.1e-05
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8863,9886300.0,2018-06-01,6.4096,צמוד למדד המחירים לצרכן,2033-06-01,0.048,0.0485,30067.44,121.114899,43.76789,36.41616,עלות מופחתת,0.007326,0.001233
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8905,9890800.0,2022-04-01,8.7667,צמוד למדד המחירים לצרכן,2037-04-01,0.048,0.0485,11955.42,117.238685,18.05985,14.01637,עלות מופחתת,0.002819,0.000474
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8869,9886900.0,2018-12-02,6.7554,צמוד למדד המחירים לצרכן,2033-12-02,0.048,0.0485,5475.27,119.790469,7.96289,6.55885,עלות מופחתת,0.001319,0.000222
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8812,9881200.0,2014-03-02,3.1852,צמוד למדד המחירים לצרכן,2029-03-02,0.048,0.0486,33659.02,119.531974,44.00804,40.23329,עלות מופחתת,0.008094,0.001362
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8846,9884600.0,2017-01-01,5.4168,צמוד למדד המחירים לצרכן,2032-01-01,0.048,0.0485,44090.84,121.482417,62.52543,53.56262,עלות מופחתת,0.010775,0.001814
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8796,9879600.0,2012-11-01,1.973,צמוד למדד המחירים לצרכן,2027-11-01,0.048,0.0485,21573.81,122.354925,27.85969,26.39663,עלות מופחתת,0.00531,0.000894
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8792,9879200.0,2012-07-01,1.6816,צמוד למדד המחירים לצרכן,2027-07-01,0.048,0.0486,1855.16,122.432682,2.37765,2.27132,עלות מופחתת,0.000456,7.6e-05
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8856,9885600.0,2017-11-01,5.9776,צמוד למדד המחירים לצרכן,2032-11-01,0.048,0.0485,50963.36,122.076659,73.83321,62.21437,עלות מופחתת,0.012516,0.002107
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8872,9887200.0,2019-03-01,7.0002,צמוד למדד המחירים לצרכן,2034-03-01,0.048,0.0486,72434.92,119.209489,105.57683,86.3493,עלות מופחתת,0.017372,0.002924
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8831,9883100.0,2015-10-01,4.4037,צמוד למדד המחירים לצרכן,2030-10-01,0.048,0.0486,14940.22,121.692676,20.60963,18.18115,עלות מופחתת,0.003657,0.000615
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8814,9881400.0,2014-05-01,3.2731,צמוד למדד המחירים לצרכן,2029-05-01,0.048,0.0486,20636.2,121.333913,27.45695,25.03871,עלות מופחתת,0.005037,0.000848
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8837,9883700.0,2016-04-01,4.7878,צמוד למדד המחירים לצרכן,2031-04-01,0.048,0.0486,55421.13,123.673488,78.57993,68.54125,עלות מופחתת,0.013789,0.002321
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8902,9890200.0,2021-10-01,8.4778,צמוד למדד המחירים לצרכן,2036-10-01,0.048,0.0485,26072.75,118.846323,39.58556,30.9865,עלות מופחתת,0.006234,0.001049
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8874,9887400.0,2019-05-01,7.0014,צמוד למדד המחירים לצרכן,2034-05-01,0.048,0.0486,69382.57,120.387878,102.16628,83.52821,עלות מופחתת,0.016804,0.002828
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8882,9888200.0,2020-01-01,7.4975,צמוד למדד המחירים לצרכן,2035-01-01,0.048,0.0485,84561.43,119.325057,125.18207,100.90297,עלות מופחתת,0.0203,0.003417
214,14200,ערד בקרן פנסיה מקיפה חדשה,ערד סדרה 8857,9885700.0,2017-12-01,6.0602,צמוד למדד המחירים לצרכן,2032-12-01,0.048,0.0485,36062.43,121.235256,52.00929,43.72038,עלות מופחתת,0.008795,0.00148
