מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הבנק,מספר מזהה בנק,סוג מספר מזהה בנק,מאפיין עיקרי,"ישראל/חו""ל",בעל עניין/צד קשור,דירוג הבנק,שם מדרג,מטבע פעילות,שווי מטבעי,שער חליפין,שיעור ריבית,"שווי הוגן (באלפי ש""ח)",שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,15666,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,5.21,3.306,ריק במקור,17.226,0.00554,0.00113
163,15666,דיסקונט,11-010,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,62.114,1.0,ריק במקור,62.114,0.01997,0.00409
163,15666,פועלים,12-531,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,43.405,1.0,ריק במקור,43.405,0.01395,0.00286
163,15666,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,0.001,3.306,ריק במקור,0.002,0.0,0.0
163,15666,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,2.599,3.306,ריק במקור,8.593,0.00276,0.00057
163,15666,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,0.0,3.306,ריק במקור,0.0,0.0,0.0
163,15666,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,4621.603,1.0,ריק במקור,4621.603,1.48561,0.30449
163,15666,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.038,1.0,ריק במקור,0.038,1e-05,0.0
163,15666,פועלים,12-531,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,7.861,3.306,ריק במקור,25.987,0.00835,0.00171
163,15666,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,5.866,3.306,ריק במקור,19.392,0.00623,0.00128
163,15666,מזרחי,20-061,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,240.9,1.0,ריק במקור,240.9,0.07744,0.01587
163,15666,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-1904.319,1.0,ריק במקור,-1904.319,-0.61214,-0.12546
163,15666,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-7.818,3.306,ריק במקור,-25.847,-0.00831,-0.0017
660,15665,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,0.226,3.306,ריק במקור,0.748,0.00317,0.00018
660,15665,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,2.153,3.306,ריק במקור,7.119,0.03019,0.0017
660,15665,דיסקונט,11-010,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,25.672,1.0,ריק במקור,25.672,0.10886,0.00612
660,15665,פועלים,12-531,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,17.939,1.0,ריק במקור,17.939,0.07607,0.00428
660,15665,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,0.0,3.306,ריק במקור,0.001,0.0,0.0
660,15665,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,10.686,3.306,ריק במקור,35.327,0.1498,0.00842
660,15665,מזרחי,20-061,סימול בנק,"מזומן ועו""ש נקוב במט""ח",ישראל,לא,ilAAA,מעלות S&P,USD,0.0,3.306,ריק במקור,0.0,0.0,0.0
660,15665,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,84.0,1.0,ריק במקור,84.0,0.35619,0.02003
660,15665,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,0.042,1.0,ריק במקור,0.042,0.00018,1e-05
660,15665,פועלים,12-531,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,3.249,3.306,ריק במקור,10.74,0.04554,0.00256
660,15665,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,2.424,3.306,ריק במקור,8.015,0.03399,0.00191
660,15665,מזרחי,20-061,סימול בנק,"פק""מ לתקופה של עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,ILS,99.564,1.0,ריק במקור,99.564,0.42218,0.02374
660,15665,מזרחי,20-061,סימול בנק,"מזומן ועו""ש בש""ח",ישראל,לא,ilAAA,מעלות S&P,ILS,-42.654,1.0,,-42.654,-0.18087,-0.01017
660,15665,מזרחי,20-061,סימול בנק,"פקדון במט""ח עד שלושה חודשים",ישראל,לא,ilAAA,מעלות S&P,USD,-3.231,3.306,,-10.682,-0.0453,-0.00255
