מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם מנפיק,מספר מנפיק,סוג מספר מזהה מנפיק,שם נייר ערך,מספר נייר ערך,סוג מספר נייר ערך,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,סטאטוס סחירות,זירת מסחר,ענף מסחר,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג נייר הערך/המנפיק,מטבע פעילות,"מח""מ",מועד פדיון,שיעור ריבית,תשואה לפדיון,נחיתות חוזית,האם סווג כחוב בעייתי,ערך נקוב (יחידות),שער חליפין,שער נייר הערך,סכום לקבל (במטבע הפעילות),"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),השיטה שיושמה בדוח הכספי,שיעור מערך נקוב מונפק,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
163,2105,Camtek Ltd/Israel,5493000H80W07HCKGS43,LEI,Camtek 0% 15sep2030 USD Conv,US13469VAC28,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,EURONEXT,Semiconductors & Semiconductor Equipment,לא,NR,NR,NR,USD,0,0/00/0000,0,0,החוב לא נחות,ריק במקור,422797.07,3.306,111.721,0,1561.601,ריק במקור,ריק במקור,שווי הוגן,0.00085,0.23289,0.00051
163,2105,ENERGEAN PLC,549300RVMKU0CYUZBB05,LEI,Energean 6.5% 30apr2027 USD,USG3044DAA49,ISIN,"צמוד למט""ח","חו""ל",אירופה,סחיר,EURONEXT,"Oil, Gas & Consumable Fuels",לא,B+,S&P,נייר ערך,USD,1.489,30/04/2027,0.065,0.06899,החוב לא נחות,ריק במקור,6684.598,3.306,102.295,0,22.606,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00337,1e-05
163,2105,Ganymede,5493006TP31XLHKTVJ54,LEI,ISRELE 3.7 05/23/30  note CITI-2,XS2771493546,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,EURONEXT,אנרגיה,לא,NR,NR,NR,JPY,4.64,47626,0.02947,0.06,החוב לא נחות,ריק במקור,675450.708,2.233,107.224,0,16.174,ריק במקור,ריק במקור,שווי הוגן,0.16886,0.00241,1e-05
163,2105,ITHACA ENERGY NORTH,213800BMMUN3AKWBIO91,LEI,15/29/IAECN 8.125 10,USG49774AC90,ISIN,"צמוד למט""ח","חו""ל",אירופה,סחיר,EURONEXT,Energy Equipment & Services,לא,B1,Moodys,נייר ערך,USD,3.418,15/10/2029,0.08125,0.06825,החוב לא נחות,ריק במקור,2322.706,3.306,108.652,0,8.343,ריק במקור,ריק במקור,שווי הוגן,3.1e-06,0.00124,0
163,2105,ITHACA ENERGY NORTH,213800BMMUN3AKWBIO91,LEI,Ithaca Energy PLC 8.125% 15.10.2029,US46567TAC80,ISIN,"צמוד למט""ח","חו""ל",בריטניה,סחיר,EURONEXT,Energy Equipment & Services,לא,B1,Moodys,נייר ערך,USD,3.418,15/10/2029,0.08125,0.06841,החוב לא נחות,ריק במקור,2869.821,3.306,108.594,0,10.303,ריק במקור,ריק במקור,שווי הוגן,3.83e-06,0.00154,0
163,2105,איי.סי.אל גרופ בעמ,520027830,ח.פ.,"srael Chemicals, 6.375% 31may2038, USD",IL0028103310,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,EURONEXT,Chemicals,לא,BBB-,S&P,נייר ערך,USD,8.792,31/05/2038,0.06375,0.05967,החוב לא נחות,ריק במקור,171.396,3.306,106.48,0,0.603,ריק במקור,ריק במקור,שווי הוגן,2.5e-07,9e-05,0
163,2105,MLP GROUP SA,2594005Q9DIECHVXBO95,LEI,"MLP Group, 6.125% 15oct2029, EUR",XS2914001750,ISIN,"צמוד למט""ח","חו""ל",אירופה,סחיר,EURONEXT,Real Estate Management & Development,לא,Ba2,Moodys,נייר ערך,EUR,0.998,15/10/2029,0.06125,0.01883,החוב לא נחות,ריק במקור,506.588,3.881,107.172,0,2.107,ריק במקור,ריק במקור,שווי הוגן,1.69e-06,0.00031,0
163,2105,WIX.COM LTD,5493008P6N29Q1AG9464,LEI,Wix.com 0% 15sep2030 USD Conv,US92940WAE93,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,EURONEXT,IT Services,לא,NR,NR,NR,USD,0,0/00/0000,0.04751,0,החוב לא נחות,ריק במקור,42279.707,3.306,109.864,0,153.564,ריק במקור,ריק במקור,שווי הוגן,4e-05,0.0229,5e-05
163,2105,NOTE,635400WDAII7Z67DM642,LEI,ISRELE 3.7 05/23/30  note CITI,XS1957524942,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,EURONEXT,אנרגיה,לא,NR,NR,NR,JPY,4.64,47626,0.02582,0.06,החוב לא נחות,ריק במקור,721920.196,2.233,104.27,0,16.81,ריק במקור,ריק במקור,שווי הוגן,0,0.00251,1e-05
163,2105,CITYCON OYJ,549300P8N0P6KDGTJ206,LEI,Citycon Oyj 3.625% perp EUR,XS2347397437,ISIN,"צמוד למט""ח","חו""ל",אירופה,סחיר,EURONEXT,Real Estate Management & Development,לא,B,S&P,נייר ערך,EUR,0.693,10/06/2026,0.03625,0.1515,החוב לא נחות,ריק במקור,2988.532,3.881,93.144,0,10.802,ריק במקור,ריק במקור,שווי הוגן,1e-05,0.00161,0
163,2105,GREENSHORE FINANCE DESIGNATED ACTIVITY C,635400WDAII7Z67DM642,LEI,ISRELE 3.3 03/21/30  note CITI,XS2783116606,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,EURONEXT,אנרגיה,לא,Baa3,Moodys,נייר ערך,JPY,4.64,47626,0.03027,0.06,החוב לא נחות,ריק במקור,3377253.538,2.233,108.422,0,81.773,ריק במקור,ריק במקור,שווי הוגן,0.06755,0.0122,3e-05
163,2105,TEVA PHARM FNC NL II,549300HSQCIKJAOYIT23,LEI,"TEVA  4.375% 9may2030, EUR",XS2406607171,ISIN,"צמוד למט""ח","חו""ל",ישראל,סחיר,EURONEXT,Pharmaceuticals,לא,BB,S&P,נייר ערך,EUR,3.96,9/05/2030,0.04375,0.03781,החוב לא נחות,ריק במקור,2195.215,3.881,104.202,0,8.877,ריק במקור,ריק במקור,שווי הוגן,1.46e-06,0.00132,0
163,2105,SOLAR EDGE TECHNOLOGIES,5493000K6Y58XXPDF853,LEI,SOLAREDGE TECHNOLOG 2.25 01/07/29,US83417MAE49,ISIN,"צמוד למט""ח","חו""ל","ארה""ב",סחיר,FWB,Energy Equipment & Services,לא,NR,NR,NR,USD,0,0/00/0000,0.0225,0,החוב לא נחות,ריק במקור,169118.828,3.306,137.313,0,767.724,ריק במקור,ריק במקור,שווי הוגן,0.0005,0.1145,0.00025
163,2155,אאורה השקעות בעמ,520038274,ח.פ.,אאורה אגח יח,IL0012034059,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,בנייה,לא,A2.il,מידרוג Moodys,נייר ערך,ILS,2.66,31/12/2029,0.0615,0.0526,החוב לא נחות,ריק במקור,2080298.915,1,104.06,0,2164.759,ריק במקור,ריק במקור,שווי הוגן,0.00693,0.00097,8e-05
163,2155,אבגול תעשיות 1953 בעמ,510119068,ח.פ.,אבגול אגח ד,IL0011404170,ISIN,"צמוד למט""ח",ישראל,ישראל,סחיר,TASE,"עץ, נייר ודפוס",לא,ilA+,מעלות S&P,נייר ערך,ILS,0.25,31/12/2025,0.039,0.0498,החוב לא נחות,ריק במקור,457622.881,1,91.08,0,416.803,ריק במקור,ריק במקור,שווי הוגן,0.01161,0.00019,1e-05
163,2155,אג'לן קומרשייל ריט הולדינגס אינק,2482,מספר מנפיק,אג'לן אגח א,IL0012232398,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בחו""ל",לא,ilA-,מעלות S&P,נייר ערך,ILS,2.53,30/06/2028,0.0592,0.0559,החוב לא נחות,ריק במקור,2040033.277,1,102.83,0,2097.766,ריק במקור,ריק במקור,שווי הוגן,0.00358,0.00094,7e-05
163,2155,איירפורט סיטי בעמ,511659401,ח.פ.,ארפורט אגח י,IL0011959819,ISIN,לא צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,2.13,30/04/2029,0.05,0.0456,החוב לא נחות,ריק במקור,12734406.608,1,103.14,0,13134.267,ריק במקור,ריק במקור,שווי הוגן,0.02582,0.00586,0.00047
163,2155,איירפורט סיטי בעמ,511659401,ח.פ.,ארפורט אגח יא,IL0011959991,ISIN,צמוד למדד המחירים לצרכן,ישראל,ישראל,סחיר,TASE,"נדל""ן מניב בישראל",לא,ilAA,מעלות S&P,נייר ערך,ILS,7.29,30/04/2039,0.0264,0.0269,החוב לא נחות,ריק במקור,3623160.226,1,109.4,0,3963.737,ריק במקור,ריק במקור,שווי הוגן,0.01208,0.00177,0.00014
