מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,תאריך העמדת מסגרת אשראי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,שער חליפין,שיעור ריבית,סוג הריבית,סכום מסגרת האשראי הראשוני (במטבע הפעילות),"סכום מסגרת האשראי הראשוני (באלפי ש""ח)",שיעור יתרת מסגרת אשראי
170,9648,19685.0,פנימי,הלוואה לגורם 19685,2080801.0,2023-12-20,ישראל,,לא,A+,S&P מעלות,הלוואה,ILS,1.0,6.900%,משתנה,631.13,631.13,83.489%
170,9648,1840.0,פנימי,הלוואה לגורם  1840,2080841.0,2024-04-21,ישראל,,לא,A3,מידרוג Moodys,הלוואה,ILS,1.0,6.500%,משתנה,133.51,133.51,8.545%
170,9648,19803.0,פנימי,הלוואה לגורם  19803,2080880.0,2024-08-07,ישראל,,לא,NR,NR,NR,ILS,1.0,4.990%,קבועה,344.647,344.647,67.262%
170,9648,19862.0,פנימי,הלוואה לגורם  19862,2080921.0,2024-11-14,ישראל,,לא,NR,NR,NR,USD,3.306,10.700%,משתנה,44.495,147.102,60.018%
170,9648,19977.0,פנימי,הלוואה לגורם  19977,2080948.0,2025-01-15,ישראל,,לא,NR,NR,NR,USD,3.306,8.990%,משתנה,78.9,260.845,33.723%
170,9648,18633.0,פנימי,הלוואה לגורם  18633,2081047.0,2025-09-15,ישראל,,לא,NR,NR,NR,USD,3.306,15.300%,משתנה,35.755,118.206,67.196%
170,9648,18880.0,פנימי,הלוואה לגורם  18880,2081049.0,2025-09-28,ישראל,,לא,A3,מידרוג Moodys,מנפיק,ILS,1.0,12.500%,משתנה,263.528,263.528,62.855%
170,15433,,,,,,,,,,,,,,,,,,0.000%
170,15432,,,,,,,,,,,,,,,,,,0.000%
170,15092,,,,,,,,,,,,,,,,,,0.000%
170,14233,,,,,,,,,,,,,,,,,,0.000%
170,14232,,,,,,,,,,,,,,,,,,0.000%
170,13347,,,,,,,,,,,,,,,,,,0.000%
170,13213,,,,,,,,,,,,,,,,,,0.000%
170,12176,,,,,,,,,,,,,,,,,,0.000%
170,9647,,,,,,,,,,,,,,,,,,0.000%
