מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,שם הנכס האחר,מספר הנכס האחר,מאפיין עיקרי,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,בעל עניין/צד קשור,תאריך עסקה,מטבע פעילות,תאריך שערוך אחרון,שווי מטבעי,שער חליפין,"שווי הוגן (באלפי ש""ח)","עלות מופחתת (באלפי ש""ח)",השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,מס לקבל 2024 דולר קנדי להחזר מ WTAX,99368105,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,124.117,2.3745,294.71653,,,-0.498%,0.001%
170,2002,מס לקבל 2019-2023 דולר קנדי להחזר מ WTAX,99368106,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,207.558,2.3745,492.84733,,,-0.832%,0.001%
170,2002,מס לקבל 2024 מניות דואליות  בישראל דולר,99368107,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,64.07,3.306,211.81488,,,-0.358%,0.000%
170,2002,מס לקבל 2023 מניות דואליות  בישראל דולר,99368108,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.538,3.306,1.77787,,,-0.003%,0.000%
170,2002,מס לקבל מפעל מאושר שנת 2024,99368109,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-14,USD,2025-09-30,6.752,3.306,22.32057,,,-0.038%,0.000%
170,2002,מס לקבל דולר בוני בגין שנת 2025,99368111,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,34.451,3.306,113.89627,,,-0.192%,0.000%
170,2002,מס לקבל דולר בוני בגין שנת 2024,99368112,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,34.576,3.306,114.3067,,,-0.193%,0.000%
170,2002,מס לקבל אגח דולר בוני,99368113,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,375.946,3.306,1242.8782,,,-2.098%,0.002%
170,2002,חוז פנסיה וגמל בגין מס לקבל שנת 2023,99368094,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-30,USD,2025-09-30,97.871,3.306,323.56152,,,-0.546%,0.001%
170,2002,ברמינגהם הכנסות לקבל - מקיפה כללי,440000464,חייבים והכנסות שכר דירה לקבל,"חו""ל",בריטניה,לא,2017-08-29,GBP,2025-09-30,195.485,4.4409,868.12994,,,-1.466%,0.002%
170,2002,הארפר קורט הכנסות לקבל - מקיפה כללי,440001179,חייבים והכנסות שכר דירה לקבל,"חו""ל","ארה""ב",לא,2017-08-29,USD,2025-09-30,776.668,3.306,2567.66375,,,-4.335%,0.005%
170,2002,סווינדון הכנסות לקבל - מקיפה כללי,440001204,חייבים והכנסות שכר דירה לקבל,"חו""ל",בריטניה,לא,2017-08-29,GBP,2025-09-30,-9.753,4.4409,-43.3134,,,0.073%,-0.000%
667,12251,אול יר אגח ב,IL0011397812,אחר,ישראל,ישראל,לא,2017-01-11,ILS,2024-07-16,37.332,1.0,37.33216,,,0.078%,0.006%
667,12251,אול יר אגח ד,IL0011412744,אחר,ישראל,ישראל,לא,2017-07-30,ILS,2024-07-16,9.361,1.0,9.36052,,,0.020%,0.002%
667,12251,אול יר אגח ה,IL0011433047,אחר,ישראל,ישראל,לא,2007-03-27,ILS,2024-07-16,1.328,1.0,1.32797,,,0.003%,0.000%
667,12251,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,47922.014,1.0,47922.01442,,,99.855%,8.078%
667,12251,מס לקבל מפעל מאושר שנת 2025,20805062,חייבים וזכאים מס,ישראל,ישראל,לא,2024-01-08,ILS,2024-01-08,2.072,1.0,2.0716,,,0.004%,0.000%
667,12251,מס לקבל 2019-2023 אירו  להחזר מ WTAX,999999440,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,EUR,2025-09-30,0.034,3.8807,0.13153,,,0.000%,0.000%
667,12251,מס לקבל 2025 מניות דואליות  בישראל דולר,999999499,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,USD,2025-09-30,1.069,3.306,3.53567,,,0.007%,0.001%
667,12251,מס לקבל 2025 דולר קנדי להחזר מ WTAX,20803056,חייבים וזכאים מס,ישראל,ישראל,לא,2023-03-06,CAD,2025-09-30,0.976,2.3745,2.31771,,,0.005%,0.000%
667,12251,מס לקבל דולר בוני בגין שנים 2019-2023,20805061,חייבים וזכאים מס,ישראל,ישראל,לא,2023-09-27,USD,2025-09-30,2.56,3.306,8.46423,,,0.018%,0.001%
667,12251,מס לקבל דולר 2019-2023  להחזר מ WTAX,99368085,חייבים וזכאים מס,ישראל,ישראל,לא,2025-05-28,USD,2025-09-30,0.116,3.306,0.38296,,,0.001%,0.000%
667,12251,חוז פנסיה וגמל בגין מס לקבל שנת 2022,99368090,חייבים וזכאים מס,ישראל,ישראל,לא,2025-07-27,USD,2025-09-30,0.461,3.306,1.52406,,,0.003%,0.000%
667,12251,מס לקבל 2024 דולר קנדי להחזר מ WTAX,99368105,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,0.897,2.3745,2.12952,,,0.004%,0.000%
667,12251,מס לקבל 2019-2023 דולר קנדי להחזר מ WTAX,99368106,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,CAD,2025-09-30,1.5,2.3745,3.56115,,,0.007%,0.001%
667,12251,מס לקבל 2024 מניות דואליות  בישראל דולר,99368107,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.463,3.306,1.5305,,,0.003%,0.000%
667,12251,מס לקבל 2023 מניות דואליות  בישראל דולר,99368108,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-11,USD,2025-09-30,0.004,3.306,0.01285,,,0.000%,0.000%
667,12251,מס לקבל מפעל מאושר שנת 2024,99368109,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-14,USD,2025-09-30,0.049,3.306,0.16128,,,0.000%,0.000%
667,12251,מס לקבל דולר בוני בגין שנת 2025,99368111,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,0.264,3.306,0.8717,,,0.002%,0.000%
667,12251,מס לקבל דולר בוני בגין שנת 2024,99368112,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,0.265,3.306,0.87485,,,0.002%,0.000%
667,12251,מס לקבל אגח דולר בוני,99368113,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-17,USD,2025-09-30,7.343,3.306,24.2751,,,0.051%,0.004%
667,12251,חוז פנסיה וגמל בגין מס לקבל שנת 2023,99368094,חייבים וזכאים מס,ישראל,ישראל,לא,2025-09-30,USD,2025-09-30,0.517,3.306,1.7092,,,0.004%,0.000%
667,12251,קרן יוזמה - אבן דרך,2081030,חייבים וזכאים,ישראל,ישראל,לא,2025-07-31,USD,2025-07-31,-9.688,3.306,-32.02798,,,-0.067%,-0.005%
667,13698,חייבים זכאים תפעולי,60101335,חייבים וזכאים,ישראל,ישראל,לא,2018-04-12,ILS,2025-09-30,2106.331,1.0,2106.331322,,,96.636%,0.354%
667,13698,מס לקבל מפעל מאושר שנת 2025,20805062,חייבים וזכאים מס,ישראל,ישראל,לא,2024-01-08,ILS,2024-01-08,4.635,1.0,4.63524,,,0.213%,0.001%
667,13698,מס לקבל 2019-2023 אירו  להחזר מ WTAX,999999440,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,EUR,2025-09-30,0.076,3.8807,0.2943,,,0.014%,0.000%
667,13698,מס לקבל 2025 מניות דואליות  בישראל דולר,999999499,חייבים וזכאים מס,ישראל,ישראל,לא,2022-06-30,USD,2025-09-30,2.393,3.306,7.91115,,,0.363%,0.001%
667,13698,מס לקבל 2025 דולר קנדי להחזר מ WTAX,20803056,חייבים וזכאים מס,ישראל,ישראל,לא,2023-03-06,CAD,2025-09-30,2.184,2.3745,5.18594,,,0.238%,0.001%
667,13698,מס לקבל דולר בוני בגין שנים 2019-2023,20805061,חייבים וזכאים מס,ישראל,ישראל,לא,2023-09-27,USD,2025-09-30,8.323,3.306,27.51474,,,1.262%,0.005%
