מספר קופה/קרן/ח.פ. עבור חברת ביטוח,מספר מסלול,מספר מזהה לווה,סוג מספר מזהה לווה,שם הלוואה,מספר הלוואה,מאפיין עיקרי,מאפיין הלוואות מתואמות עבור זכויות מקרקעין,"ישראל/חו""ל",מדינה לפי חשיפה כלכלית,ענף מסחר,בעל עניין/צד קשור,קונסורציום/ סינדיקציה,מספר קונסורציום/ סינדיקציה,תאריך העמדת הלוואה,דירוג,שם מדרג,דירוג הלוואה/המנפיק,מטבע פעילות,"מח""מ",סוג הריבית,שיעור ריבית,סוג הצמדה,ריבית עוגן,שיעור תוספת/הפחתה לריבית העוגן,תשואה לפדיון,מועד פדיון,נחיתות חוזית,סוג בטוחה,שווי הבטוחות העומדות כנגד ההלוואה,שיעור הבטוחות מהחוב,מועד עדכון אחרון לשווי הבטוחות,זכות חזרה,מבנה לוח סילוקין,יעוד הלוואה,זכות פירעון מוקדם,סוג גורם משערך,שם גורם משערך,תלות/אי-תלות המשערך,תאריך שערוך אחרון,תאריך אחרון בו נבחנה בפועל ירידת ערך,שיעור ריבית בגין אי-ניצול מסגרת האשראי,ערך נקוב,שער הלוואה,שער חליפין,"שווי הוגן (באלפי ש""ח)",שווי הוגן (במטבע הפעילות),"עלות מופחתת (באלפי ש""ח)",עלות מופחתת (במטבע הפעילות),האם סווג כחוב בעייתי,השיטה שיושמה בדוח הכספי,שיעור מנכסי אפיק ההשקעה,שיעור מסך נכסי ההשקעה
170,2002,199.0,פנימי,הלוואה לגורם 199,20802645,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-07-27,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2052-03-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-16.45756108,17353.03,1.0,-2.85588,-2.856,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802646,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-07-27,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2052-03-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-16.45756108,12500.28,1.0,-2.05724,-2.057,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802654,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2023-10-24,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2052-01-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-16.45756108,12817.5,1.0,-2.10945,-2.109,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802656,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-04-07,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2035-05-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-14.726246906,12048.63,1.0,-1.77431,-1.774,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802657,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-04-07,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-14.711590279,10314.5,1.0,-1.51743,-1.517,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802658,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-04-07,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2034-01-01,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-08-19,,,-14.711590279,10698.38,1.0,-1.5739,-1.574,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080885,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-08-13,NR,NR,NR,ILS,7.69,קבועה,5.630%,,,,7.960%,2053-06-30,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,2883047.18734823,85.27,1.0,2458.37434,2458.374,,,,,0.077%,0.004%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080886,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-08-13,NR,NR,NR,ILS,9.07,קבועה,5.630%,,,,6.560%,2053-07-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,1052760.16184626,102.1,1.0,1074.86812,1074.868,,,,,0.034%,0.002%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080887,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-08-13,NR,NR,NR,ILS,8.5,קבועה,5.630%,,,,6.750%,2053-07-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,771780.184886706,105.34,1.0,812.99325,812.993,,,,,0.025%,0.001%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080888,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2024-08-13,NR,NR,NR,ILS,9.02,משתנה,0.0699,,,,6.420%,2053-07-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,5616136.35938854,102.93,1.0,5780.68915,5780.689,,,,,0.181%,0.010%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080972,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2025-03-01,NR,NR,NR,ILS,8.09,קבועה,6.640%,,,,7.600%,2053-10-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,1975018.70530961,93.08,1.0,1838.34741,1838.347,,,,,0.057%,0.003%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080973,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2025-03-01,NR,NR,NR,ILS,7.98,קבועה,6.640%,,,,7.330%,2054-05-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,13101788.7218991,105.38,1.0,13806.66495,13806.665,,,,,0.431%,0.025%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080974,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2025-03-01,NR,NR,NR,ILS,8.98,קבועה,6.640%,,,,7.600%,2053-12-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,920776.342498429,98.83,1.0,910.00326,910.003,,,,,0.028%,0.002%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080975,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2025-03-01,NR,NR,NR,ILS,7.96,משתנה,0.08189,,,,7.260%,2054-05-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,17984258.9425028,106.31,1.0,19119.06568,19119.066,,,,,0.597%,0.034%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802659,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2025-09-04,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2053-08-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-09-04,,,-16.563821632,1255.62,1.0,-0.20799,-0.208,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,20802661,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2025-09-04,NR,NR,NR,ILS,6.26,אחר,6.500%,,,,6.500%,2053-08-31,החוב לא נחות,,,,,,,,לא,אחר,,אי-תלות,2025-09-04,,,-16.563821632,1325.24,1.0,-0.21952,-0.22,,,,,-0.000%,-0.000%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080227,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-01-31,NR,NR,NR,ILS,6.29,קבועה,3.770%,,,,4.400%,2045-05-31,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,6192626.28,129.01,1.0,7989.10716,7989.107,,,,,0.250%,0.014%
170,2002,199.0,פנימי,הלוואה לגורם 199,2080265,אחר,,ישראל,,אנשים פרטיים,לא,לא,,2018-01-31,NR,NR,NR,ILS,5.96,קבועה,3.260%,,,,3.930%,2044-09-30,החוב לא נחות,,,,,,,,לא,חברת ציטוט,,אי-תלות,2025-09-30,,,84833.48,122.24,1.0,103.70044,103.7,,,,,0.003%,0.000%
